,Rank,"Player (yrs, age)",Strikeouts per 9 IP,Throws
0,1.,"Yu Darvish (8, 33)",11.1162,R
1,2.,"Chris Sale (10, 31)",11.0839,L
2,3.,"Max Scherzer (13, 35)",10.6290,R
3,4.,Randy Johnson+ (22),10.6098,L
4,5.,"Stephen Strasburg (11, 31)",10.5793,R
5,6.,"Jacob deGrom (7, 32)",10.4568,R
6,7.,Kerry Wood (14),10.3174,R
7,8.,"Gerrit Cole (8, 29)",10.1498,R
8,9.,Pedro Martinez+ (18),10.0398,R
9,10.,"Chris Archer (8, 31)",9.8308,R
10,11.,"Corey Kluber (10, 34)",9.7999,R
11,12.,"Clayton Kershaw (13, 32)",9.7445,L
12,13.,"Trevor Bauer (9, 29)",9.6731,R
13,14.,Nolan Ryan+ (27),9.5481,R
14,15.,"Oliver Perez (18, 38)",9.5123,L
15,16.,"Carlos Carrasco (11, 33)",9.4540,R
16,17.,Trevor Hoffman+ (18),9.3608,R
17,18.,Tim Lincecum (10),9.2889,R
18,19.,Sandy Koufax+ (12),9.2775,L
19,20.,"Justin Verlander (16, 37)",9.0753,R
20,21.,"Francisco Liriano (14, 36)",9.0066,L
21,22.,"Lance Lynn (9, 33)",8.9264,R
22,23.,Joaquin Benoit (16),8.9102,R
23,24.,"Patrick Corbin (8, 30)",8.8640,L
24,25.,Sam McDowell (15),8.8580,L
25,26.,Johan Santana (12),8.8326,L
26,27.,"David Price (12, 34)",8.7842,L
27,28.,Dan Plesac (18),8.7397,L
28,29.,Hideo Nomo (12),8.7344,R
29,30.,Lee Smith+ (18),8.7324,R
30,31.,Arthur Rhodes (20),8.7297,L
31,32.,"Madison Bumgarner (12, 30)",8.6965,L
32,33.,"Gio Gonzalez (13, 34)",8.6601,L
33,34.,Erik Bedard (11),8.6019,L
34,35.,Curt Schilling (20),8.5998,R
35,36.,"Jake Odorizzi (9, 30)",8.5913,R
36,37.,Scott Kazmir (12),8.5650,L
37,38.,Roger Clemens (24),8.5521,R
38,39.,"Cole Hamels (15, 36)",8.5397,L
39,40.,Bud Norris (10),8.4965,R
40,41.,"Sonny Gray (8, 30)",8.4753,R
41,42.,"Masahiro Tanaka (7, 31)",8.4594,R
42,43.,Eric Plunk (14),8.4526,R
43,44.,Sid Fernandez (15),8.4038,L
44,45.,J.R. Richard (10),8.3667,R
45,46.,Jake Peavy (15),8.3563,R
46,47.,Josh Beckett (14),8.3418,R
47,48.,"Ian Kennedy (14, 35)",8.3263,R
48,49.,"Felix Hernandez (15, 34)",8.3219,R
49,50.,"Jon Lester (15, 36)",8.3016,L
50,51.,David Cone (17),8.2838,R
51,52.,A.J. Burnett (17),8.2806,R
52,53.,Ubaldo Jimenez (12),8.2781,R
53,54.,"Zack Greinke (17, 36)",8.2344,R
54,55.,Tom Gordon (21),8.2315,R
55,56.,Mariano Rivera+ (19),8.2241,R
56,57.,Jesse Orosco (24),8.1917,L
57,58.,"Mike Minor (9, 32)",8.1851,L
58,59.,Javier Vazquez (14),8.0366,R
59,60.,"Jake Arrieta (11, 34)",8.0269,R
60,61.,John Smoltz+ (21),7.9919,R
61,62.,"Charlie Morton (13, 36)",7.9787,R
62,63.,"Anibal Sanchez (15, 36)",7.9730,R
63,64.,"Danny Duffy (10, 31)",7.9607,L
64,65.,Bob Veale (13),7.9579,L
65,66.,"J.A. Happ (14, 37)",7.9542,L
66,67.,Roberto Hernandez (17),7.9387,R
67,68.,"Jeff Samardzija (13, 35)",7.9261,R
68,69.,Jason Schmidt (14),7.9255,R
