,Rank,"Player (yrs, age)",Home Runs per 9 IP,Throws
0,1.,Jim Devlin (5),0.0448,R
1,2.,Al Spalding+ (8),0.0468,R
2,3.,Reb Russell (9),0.0488,L
3,4.,Candy Cummings+ (6),0.0502,R
4,5.,Jack Pfiester (8),0.0506,L
5,6.,Ed Killian (8),0.0507,L
6,7.,Frank Corridon (6),0.0518,R
7,8.,Smoky Joe Wood (14),0.0627,R
8,9.,Terry Larkin (6),0.0689,R
9,10.,Ed Walsh+ (14),0.0698,R
10,11.,George Zettlein (6),0.0703,R
11,12.,Addie Joss+ (9),0.0735,R
12,13.,Babe Ruth+ (22),0.0737,L
13,14.,Andy Coakley (9),0.0755,R
14,15.,Willie Mitchell (11),0.0772,L
15,16.,Ed Doheny (9),0.0833,L
16,17.,Eddie Plank+ (17),0.0841,L
17,18.,Jake Weimer (7),0.0856,L
18,19.,Dick McBride (6),0.0865,R
19,20.,Eddie Cicotte (14),0.0893,R
20,21.,Cy Falkenberg (12),0.0910,R
21,22.,Bill Donovan (18),0.0911,R
22,23.,Fred Glade (6),0.0923,R
23,24.,Harry Coveleski (9),0.0938,L
24,24.,Orval Overall (7),0.0938,R
25,26.,Harry Howell (13),0.0946,R
26,27.,John Ward+ (17),0.0947,R
27,28.,Nick Altrock (19),0.0951,L
28,29.,Sam Weaver (6),0.0964,R
29,30.,Doc White (13),0.0977,L
30,31.,Sam Leever (13),0.0981,R
31,32.,Ed Karger (6),0.0989,L
32,33.,Jim Scott (9),0.0999,R
33,34.,Ray Collins (7),0.1010,L
34,35.,Bob Rhoads (8),0.1011,R
35,36.,George Mullin (14),0.1025,R
36,37.,Barney Pelty (10),0.1038,R
37,38.,Joe Benz (9),0.1059,R
38,39.,Frank Smith (11),0.1069,R
39,40.,Doc Scanlan (8),0.1078,R
40,41.,Carl Lundgren (8),0.1089,R
41,42.,Vean Gregg (8),0.1098,L
42,43.,Bernie Boland (7),0.1102,R
43,44.,Frank Owen (8),0.1118,R
44,45.,Cy Morgan (10),0.1121,R
45,46.,Rube Waddell+ (13),0.1124,L
46,47.,Ed Reulbach (13),0.1128,R
47,48.,Pete Schneider (6),0.1130,R
48,49.,Red Ames (17),0.1154,R
49,49.,Cherokee Fisher (8),0.1154,R
50,51.,Jumbo McGinnis (6),0.1179,
51,52.,Fred Beebe (7),0.1182,R
52,53.,Jean Dubuc (9),0.1184,R
53,54.,Billy Rhines (9),0.1190,R
54,55.,Chief Bender+ (16),0.1193,R
55,56.,Noodles Hahn (8),0.1197,L
56,57.,Jack Chesbro+ (11),0.1212,R
57,58.,Bob Ewing (11),0.1213,R
58,59.,Ed Willett (10),0.1218,R
59,60.,Mordecai Brown+ (14),0.1220,R
60,61.,Bill James (8),0.1222,R
61,62.,Johnny Lush (7),0.1235,L
62,63.,Tommy Bond (10),0.1240,R
63,64.,George Bell (5),0.1243,R
64,65.,Doc McJames (6),0.1256,R
65,66.,Hardie Henderson (6),0.1258,R
66,67.,Tully Sparks (12),0.1267,R
67,68.,Bobby Mathews (15),0.1271,R
68,69.,Doc Newton (8),0.1273,L
69,70.,Ned Garvin (7),0.1285,R
70,71.,Hippo Vaughn (13),0.1286,L
71,72.,Dave Davenport (6),0.1288,R
72,73.,Joe Lake (6),0.1297,R
73,74.,Carl Weilman (8),0.1302,L
74,75.,Jesse Tannehill (15),0.1305,L
75,76.,Bill Bernhard (9),0.1306,R
76,77.,George McQuillan (10),0.1313,R
77,78.,Lefty Leifield (12),0.1322,L
78,79.,Jay Hughes (4),0.1324,R
79,80.,Tim Keefe+ (14),0.1337,R
80,81.,Joe McGinnity+ (10),0.1360,R
81,82.,George Bradley (11),0.1378,R
82,83.,Bob Wicker (6),0.1389,R
83,84.,Lew Richie (8),0.1390,R
84,85.,Ed Seward (6),0.1393,R
85,86.,Jack Taylor (10),0.1405,R
86,87.,Ed Morris (7),0.1412,L
87,88.,Deacon Phillippe (13),0.1415,R
88,89.,Ed Siever (7),0.1433,L
89,90.,John Ewing (6),0.1445,R
90,91.,Doc Ayers (9),0.1449,R
91,92.,Charlie Smith (10),0.1467,R
92,93.,Jack Coombs (14),0.1474,R
93,94.,Walter Johnson+ (21),0.1476,R
94,95.,Bert Gallia (9),0.1480,R
95,96.,Vic Willis+ (13),0.1486,R
96,97.,Mike Smith (14),0.1487,L
97,98.,Guy Morton (11),0.1491,R
98,99.,Irv Young (6),0.1495,L
99,100.,Roy Patterson (7),0.1516,R
100,101.,Al Mamaux (12),0.1531,R
101,102.,Lee Richmond (6),0.1535,L
102,103.,Dick Rudolph (13),0.1537,R
103,104.,Guy Hecker (9),0.1539,R
104,104.,Jock Menefee (9),0.1539,R
105,104.,Phenomenal Smith (8),0.1539,L
106,107.,Nap Rucker (10),0.1553,L
107,108.,Claude Hendrix (10),0.1556,R
108,109.,Jim Shaw (9),0.1575,R
109,110.,Bill Hoffer (6),0.1579,R
110,111.,Otto Hess (10),0.1650,L
111,112.,Will White (10),0.1651,R
112,113.,Earl Hamilton (14),0.1652,L
113,114.,Bill Bailey (11),0.1660,L
114,115.,Christy Mathewson+ (17),0.1673,R
115,116.,Wiley Piatt (6),0.1683,L
116,117.,Cy Young+ (22),0.1688,R
117,118.,Ed Cushman (6),0.1689,L
118,119.,Ray Fisher (10),0.1692,R
119,120.,Frank Mountain (7),0.1703,R
120,121.,Dave Foutz (13),0.1712,R
121,122.,Toad Ramsey (6),0.1714,L
122,123.,Togie Pittinger (8),0.1720,R
123,124.,Larry Cheney (9),0.1722,R
124,125.,Jim McCormick (10),0.1726,R
125,126.,Patsy Flaherty (9),0.1727,L
126,127.,George Winter (8),0.1739,R
127,128.,Casey Patten (8),0.1746,L
128,129.,Howie Camnitz (11),0.1770,R
129,129.,Tom Hughes (13),0.1770,R
130,131.,Sadie McMahon (9),0.1777,R
131,132.,Jack Warhop (8),0.1784,R
132,133.,Dummy Taylor (9),0.1785,R
133,134.,Amos Rusie+ (10),0.1786,R
134,135.,Gene Packard (8),0.1787,L
135,136.,Pud Galvin+ (15),0.1814,R
136,137.,Pink Hawley (10),0.1822,R
137,138.,Chick Fraser (14),0.1846,R
138,139.,Earl Moore (14),0.1848,R
139,140.,Jack Harper (8),0.1849,R
140,141.,Red Donahue (13),0.1851,R
141,142.,Jimmy Callahan (13),0.1853,R
142,143.,Harry McIntire (9),0.1855,R
143,144.,Rube Benton (15),0.1859,L
144,145.,Eppa Rixey+ (21),0.1862,L
145,146.,Harry Harper (10),0.1863,L
146,147.,Al Mays (6),0.1871,R
147,147.,Frank Miller (7),0.1871,R
148,149.,Jim Hughey (7),0.1876,R
149,150.,Bob Caruthers (10),0.1877,R
150,151.,Bob Groom (10),0.1888,R
151,152.,Willie McGill (7),0.1895,L
152,153.,Happy Townsend (6),0.1899,R
153,154.,Stan Coveleski+ (14),0.1927,R
154,154.,Tony Mullane (13),0.1927,R
155,156.,Bob Harmon (9),0.1928,R
156,157.,Allan Sothoron (11),0.1934,R
157,158.,Adonis Terry (14),0.1946,R
158,159.,Silver King (10),0.1952,R
159,160.,Matt Kilroy (10),0.1958,L
160,161.,Frank Killen (10),0.1971,L
161,162.,Hugh Daily (6),0.1972,R
162,163.,John Harkins (5),0.1977,R
163,164.,Jeff Tesreau (7),0.1983,R
164,165.,Mickey Welch+ (13),0.1987,R
165,166.,Al Orth (15),0.2012,R
