,Rank,Player (age that year),Games Finished,Year,Throws
67,63.,Brad Lidge (28),65,2005,R
68,63.,Jose Mesa (38),65,2004,R
69,63.,Robb Nen (27),65,1997,R
70,63.,J.J. Putz (30),65,2007,R
71,63.,Fernando Rodney (32),65,2009,R
72,63.,Fernando Rodney (35),65,2012,R
73,63.,Kent Tekulve (31),65,1978,R
74,75.,Rick Aguilera (36),64,1998,R
75,75.,Danys Báez (27),64,2005,R
76,75.,Armando Benitez (28),64,2001,R
77,75.,Bill Caudill (25),64,1982,R
78,75.,Francisco Cordero (35),64,2010,R
79,75.,Ryan Dempster (29),64,2006,R
80,75.,Willie Hernandez (30),64,1985,L
81,75.,Doug Jones (33),64,1990,R
82,75.,Craig Kimbrel (23),64,2011,R
83,75.,Braden Looper (28),64,2003,R
84,75.,Derek Lowe (27),64,2000,R
85,75.,Jose Mesa (36),64,2002,R
86,75.,Robb Nen (29),64,1999,R
87,75.,Jonathan Papelbon (31),64,2012,R
88,75.,Fernando Rodney (37),64,2014,R
89,75.,Mel Rojas (29),64,1996,R
90,75.,Kent Tekulve (35),64,1982,R
91,75.,Billy Wagner (38),64,2010,L
92,75.,Mark Wohlers (26),64,1996,R
93,75.,Tim Worrell (35),64,2003,R
94,95.,John Axford (28),63,2011,R
95,95.,Zack Britton (28),63,2016,L
96,95.,Doug Corbett (27),63,1980,R
97,95.,Francisco Cordero (29),63,2004,R
98,95.,Francisco Cordero (33),63,2008,R
99,95.,Francisco Cordero (36),63,2011,R
100,95.,Wade Davis (32),63,2018,R
101,95.,Greg Harris (30),63,1986,R
102,95.,Bryan Harvey (28),63,1991,R
103,95.,Kenley Jansen (28),63,2016,R
104,95.,Jim Johnson (29),63,2012,R
105,95.,Jim Johnson (30),63,2013,R
106,95.,Mark Melancon (30),63,2015,R
107,95.,Jeff Montgomery (31),63,1993,R
108,95.,Joe Nathan (29),63,2004,R
109,95.,Robb Nen (30),63,2000,R
110,95.,Mariano Rivera+ (29),63,1999,R
111,95.,Kazuhiro Sasaki (33),63,2001,R
112,95.,Bruce Sutter+ (31),63,1984,R
113,95.,Dave Veres (32),63,1999,R
114,95.,Bob Wickman (30),63,1999,R
115,95.,Mike Williams (31),63,2000,R
116,117.,Ted Abernathy (32),62,1965,R
117,117.,Antonio Alfonseca (28),62,2000,R
118,117.,Miguel Batista (34),62,2005,R
119,117.,Bill Caudill (27),62,1984,R
120,117.,Steve Cishek (27),62,2013,R
121,117.,Chad Cordero (23),62,2005,R
122,117.,Rollie Fingers+ (29),62,1976,R
123,117.,Rollie Fingers+ (31),62,1978,R
124,117.,Eddie Guardado (31),62,2002,L
125,117.,Tom Henke (29),62,1987,R
126,117.,Trevor Hoffman+ (28),62,1996,R
127,117.,Tom Hume (27),62,1980,R
128,117.,Bobby Jenks (26),62,2007,R
129,117.,Todd Jones (31),62,1999,R
130,117.,Billy Koch (25),62,2000,R
131,117.,Jim Konstanty (33),62,1950,R
132,117.,Butch Metzger (24),62,1976,R
133,117.,Jeff Montgomery (30),62,1992,R
134,117.,Joe Nathan (34),62,2009,R
135,117.,Joe Nathan (37),62,2012,R
136,117.,Steve Olin (26),62,1992,R
137,117.,Gregg Olson (24),62,1991,R
138,117.,Jonathan Papelbon (27),62,2008,R
139,117.,Dan Quisenberry (30),62,1983,R
140,117.,Phil Regan (31),62,1968,R
141,117.,Jeff Shaw (30),62,1997,R
142,117.,Derrick Turnbow (27),62,2005,R
143,117.,Ugueth Urbina (25),62,1999,R
144,117.,Wilbur Wood (28),62,1970,L
145,146.,Ted Abernathy (34),61,1967,R
146,146.,Rick Aguilera (30),61,1992,R
147,146.,Rick Aguilera (31),61,1993,R
148,146.,Ricky Bottalico (27),61,1997,R
149,146.,Jeff Brantley (32),61,1996,R
150,146.,Ron Davis (27),61,1983,R
151,146.,Dennis Eckersley+ (35),61,1990,R
152,146.,Roy Face (32),61,1960,R
153,146.,Keith Foulke (31),61,2004,R
154,146.,John Franco (27),61,1988,L
155,146.,Roberto Hernandez (31),61,1996,R
156,146.,Trevor Hoffman+ (30),61,1998,R
157,146.,Al Holland (31),61,1984,L
158,146.,Greg Holland (27),61,2013,R
159,146.,Jorge Julio (23),61,2002,R
160,146.,Brad Lidge (31),61,2008,R
161,146.,Mike MacDougal (26),61,2003,R
162,146.,Carlos Marmol (28),61,2011,R
163,146.,Joe Nathan (31),61,2006,R
164,146.,Joe Nathan (38),61,2013,R
165,146.,Roberto Osuna (21),61,2016,R
166,146.,Jeff Reardon (33),61,1989,R
167,146.,Mariano Rivera+ (30),61,2000,R
168,146.,John Rocker (24),61,1999,L
169,146.,B.J. Ryan (29),61,2005,L
170,146.,Heathcliff Slocumb (31),61,1997,R
171,146.,Lee Smith+ (33),61,1991,R
172,146.,John Smoltz+ (37),61,2004,R
173,146.,Dave Veres (33),61,2000,R
174,146.,Billy Wagner (30),61,2002,L
175,146.,Mitch Williams (24),61,1989,L
176,177.,Rick Aguilera (29),60,1991,R
177,177.,Steve Bedrosian (31),60,1989,R
178,177.,Joe Borowski (35),60,2006,R
179,177.,Bill Campbell (28),60,1977,R
180,177.,Shawn Chacon (26),60,2004,R
181,177.,Francisco Cordero (30),60,2005,R
182,177.,Mike DeJean (31),60,2002,R
183,177.,Rollie Fingers+ (27),60,1974,R
184,177.,Eddie Fisher (28),60,1965,R
185,177.,John Franco (26),60,1987,L
186,177.,Dave Giusti (33),60,1973,R
187,177.,Eddie Guardado (32),60,2003,L
188,177.,Tom Henke (35),60,1993,R
189,177.,John Hiller (30),60,1973,L
190,177.,Greg Holland (28),60,2014,R
191,177.,Bob James (26),60,1985,R
192,177.,Doug Jones (36),60,1993,R
193,177.,Todd Jones (32),60,2000,R
194,177.,Craig Kimbrel (25),60,2013,R
195,177.,Brandon League (28),60,2011,R
196,177.,Braden Looper (29),60,2004,R
197,177.,Sparky Lyle (32),60,1977,L
198,177.,Matt Mantei (25),60,1999,R
199,177.,Roger McDowell (29),60,1990,R
200,177.,Jose Mesa (30),60,1996,R
201,177.,Jose Mesa (33),60,1999,R
202,177.,Joe Nathan (32),60,2007,R
203,177.,Troy Percival (28),60,1998,R
204,177.,Dave Righetti (26),60,1985,L
205,177.,Felipe Vazquez (26),60,2018,L
206,177.,Mariano Rivera+ (38),60,2008,R
207,177.,Mariano Rivera+ (43),60,2013,R
208,177.,Mike Schooler (26),60,1989,R
209,177.,Heathcliff Slocumb (30),60,1996,R
210,177.,David Weathers (37),60,2007,R
211,177.,Bob Wickman (31),60,2000,R
212,177.,Mitch Williams (26),60,1991,L
213,177.,Brian Wilson (27),60,2009,R
214,177.,Todd Worrell (26),60,1986,R
215,216.,Danys Báez (26),59,2004,R
216,216.,Heath Bell (31),59,2009,R
217,216.,Armando Benitez (31),59,2004,R
218,216.,Joe Borowski (32),59,2003,R
219,216.,Chad Cordero (24),59,2006,R
220,216.,Chad Cordero (25),59,2007,R
221,216.,Francisco Cordero (34),59,2009,R
222,216.,Rawly Eastwick (25),59,1976,R
223,216.,Dennis Eckersley+ (36),59,1991,R
224,216.,Neftali Feliz (22),59,2010,R
225,216.,Rollie Fingers+ (28),59,1975,R
226,216.,Eric Gagne (28),59,2004,R
227,216.,Jeanmar Gomez (28),59,2016,R
228,216.,Jim Gott (28),59,1988,R
229,216.,Wayne Granger (26),59,1970,R
230,216.,Danny Graves (30),59,2004,R
231,216.,Kevin Gregg (30),59,2008,R
232,216.,Joel Hanrahan (29),59,2011,R
233,216.,Trevor Hoffman+ (29),59,1997,R
234,216.,Trevor Hoffman+ (32),59,2000,R
235,216.,Kenley Jansen (30),59,2018,R
236,216.,Aurelio Lopez (31),59,1980,R
237,216.,Sparky Lyle (29),59,1974,L
238,216.,Jose Mesa (35),59,2001,R
239,216.,Stu Miller (35),59,1963,R
240,216.,Jeff Montgomery (28),59,1990,R
241,216.,Randy Myers (27),59,1990,L
242,216.,Jonathan Papelbon (28),59,2009,R
243,216.,Addison Reed (24),59,2013,R
244,216.,Mariano Rivera+ (36),59,2006,R
245,216.,Mariano Rivera+ (37),59,2007,R
246,216.,Trevor Rosenthal (24),59,2014,R
247,216.,Lee Smith+ (26),59,1984,R
248,216.,Lee Smith+ (28),59,1986,R
249,216.,Bobby Thigpen (24),59,1988,R
250,216.,Ugueth Urbina (24),59,1998,R
251,216.,Jose Valverde (29),59,2007,R
252,216.,Billy Wagner (34),59,2006,L
253,216.,John Wetteland (31),59,1998,R
254,216.,John Wetteland (32),59,1999,R
255,216.,Mike Williams (33),59,2002,R
256,216.,Brian Wilson (28),59,2010,R
257,258.,Don Aase (31),58,1986,R
258,258.,Cody Allen (26),58,2015,R
259,258.,Rod Beck (27),58,1996,R
260,258.,Rocky Biddle (27),58,2003,R
261,258.,Joe Borowski (36),58,2007,R
262,258.,Zack Britton (27),58,2015,L
263,258.,Jonathan Broxton (25),58,2009,R
264,258.,Francisco Cordero (32),58,2007,R
265,258.,Ryan Dempster (30),58,2007,R
266,258.,Keith Foulke (27),58,2000,R
267,258.,Brian Fuentes (30),58,2006,L
268,258.,Wayne Gomes (26),58,1999,R
269,258.,Rich Gossage+ (28),58,1980,R
270,258.,Shane Greene (29),58,2018,R
271,258.,Tom Henke (32),58,1990,R
272,258.,Roberto Hernandez (33),58,1998,R
273,258.,Roberto Hernandez (35),58,2000,R
274,258.,Greg Holland (31),58,2017,R
275,258.,Jay Howell (29),58,1985,R
276,258.,Bobby Jenks (25),58,2006,R
277,258.,Ron Kline (33),58,1965,R
278,258.,Curt Leskanic (33),58,2001,R
279,258.,Rich Loiselle (25),58,1997,R
280,258.,Sparky Lyle (31),58,1976,L
281,258.,Jason Motte (30),58,2012,R
282,258.,Joe Nathan (30),58,2005,R
283,258.,Gregg Olson (23),58,1990,R
284,258.,Roberto Osuna (22),58,2017,R
285,258.,Dick Radatz (26),58,1963,R
286,258.,Jeff Reardon (28),58,1984,R
287,258.,Jeff Reardon (31),58,1987,R
288,258.,Jeff Reardon (32),58,1988,R
289,258.,Francisco Rodriguez (23),58,2005,R
290,258.,Francisco Rodriguez (24),58,2006,R
291,258.,Kazuhiro Sasaki (32),58,2000,R
292,258.,Rafael Soriano (33),58,2013,R
293,258.,Bruce Sutter+ (29),58,1982,R
294,258.,Billy Taylor (36),58,1998,R
295,258.,Bobby Thigpen (27),58,1991,R
296,258.,Blake Treinen (30),58,2018,R
297,258.,Billy Wagner (29),58,2001,L
298,258.,John Wetteland (25),58,1992,R
299,258.,John Wetteland (26),58,1993,R
300,258.,John Wetteland (29),58,1996,R
301,258.,John Wetteland (30),58,1997,R
302,303.,Rick Aguilera (35),57,1997,R
303,303.,Jack Aker (25),57,1966,R
304,303.,Heath Bell (32),57,2010,R
305,303.,Ron Davis (28),57,1984,R
306,303.,Rob Dibble (27),57,1991,R
307,303.,Roy Face (34),57,1962,R
308,303.,Brian Fuentes (33),57,2009,L
309,303.,Danny Graves (26),57,2000,R
310,303.,Joel Hanrahan (30),57,2012,R
311,303.,Roberto Hernandez (30),57,1995,R
312,303.,Raisel Iglesias (27),57,2017,R
313,303.,Raisel Iglesias (28),57,2018,R
314,303.,Jason Isringhausen (27),57,2000,R
315,303.,Michael Jackson (33),57,1998,R
316,303.,Kenley Jansen (26),57,2014,R
317,303.,Kenley Jansen (29),57,2017,R
318,303.,Jim Kern (30),57,1979,R
319,303.,Craig Kimbrel (30),57,2018,R
320,303.,Jose Mesa (29),57,1995,R
321,303.,Donnie Moore (31),57,1985,R
322,303.,Randy Myers (29),57,1992,L
323,303.,Randy Myers (34),57,1997,L
324,303.,Joe Nathan (33),57,2008,R
325,303.,Chris Perez (25),57,2011,R
326,303.,J.J. Putz (29),57,2006,R
327,303.,Mariano Rivera+ (33),57,2003,R
328,303.,Trevor Rosenthal (25),57,2015,R
329,303.,B.J. Ryan (30),57,2006,L
330,303.,Lee Smith+ (27),57,1985,R
331,303.,Lee Smith+ (30),57,1988,R
332,303.,Joakim Soria (24),57,2008,R
333,303.,Kent Tekulve (33),57,1980,R
334,303.,Billy Wagner (35),57,2007,L
335,303.,John Wetteland (33),57,2000,R
336,303.,Mitch Williams (28),57,1993,L
337,303.,John Wyatt (29),57,1964,R
338,339.,Doug Bair (28),56,1978,R
339,339.,Steve Bedrosian (28),56,1986,R
340,339.,Steve Bedrosian (29),56,1987,R
341,339.,Ricky Bottalico (26),56,1996,R
342,339.,Clint Brown (35),56,1939,R
343,339.,Wade Davis (31),56,2017,R
344,339.,Neftali Feliz (23),56,2011,R
345,339.,Gene Garber (34),56,1982,R
346,339.,Danny Graves (25),56,1999,R
347,339.,Kevin Gregg (32),56,2010,R
348,339.,Tom Henke (31),56,1989,R
349,339.,Doug Henry (28),56,1992,R
350,339.,Todd Jones (38),56,2006,R
351,339.,Craig Kimbrel (24),56,2012,R
352,339.,Billy Koch (26),56,2001,R
353,339.,Kerry Ligtenberg (27),56,1998,R
354,339.,Sparky Lyle (27),56,1972,L
355,339.,Mike Marshall (29),56,1972,R
356,339.,Roger McDowell (28),56,1989,R
357,339.,Hector Neris (28),56,2017,R
358,339.,Gregg Olson (25),56,1992,R
359,339.,Roberto Osuna (24),56,2019,R
360,339.,Glen Perkins (31),56,2014,L
361,339.,Dick Radatz (28),56,1965,R
362,339.,Chris Ray (24),56,2006,R
363,339.,Mariano Rivera+ (27),56,1997,R
364,339.,Francisco Rodriguez (25),56,2007,R
365,339.,Bruce Ruffin (32),56,1996,L
366,339.,Jeff Russell (29),56,1991,R
367,339.,Jeff Shaw (32),56,1999,R
368,339.,Lee Smith+ (25),56,1983,R
369,339.,Lee Smith+ (35),56,1993,R
370,339.,Joakim Soria (26),56,2010,R
371,339.,Rafael Soriano (30),56,2010,R
372,339.,Bruce Sutter+ (26),56,1979,R
373,339.,Kent Tekulve (36),56,1983,R
374,339.,Bobby Thigpen (25),56,1989,R
375,339.,Mike Timlin (30),56,1996,R
376,339.,Mike Trombley (32),56,1999,R
377,339.,John Wetteland (28),56,1995,R
378,339.,Bob Wickman (32),56,2001,R
379,339.,Mitch Williams (27),56,1992,L
380,339.,Kerry Wood (31),56,2008,R
381,382.,Alfredo Aceves (29),55,2012,R
382,382.,Antonio Alfonseca (30),55,2002,R
383,382.,Cody Allen (27),55,2016,R
384,382.,Cody Allen (28),55,2017,R
385,382.,Grant Balfour (35),55,2013,R
386,382.,Bill Campbell (25),55,1974,R
387,382.,Lance Carter (28),55,2003,R
388,382.,Aroldis Chapman (25),55,2013,L
389,382.,Steve Cishek (28),55,2014,R
390,382.,Sean Doolittle (32),55,2019,L
391,382.,Ed Farmer (30),55,1980,R
392,382.,Mike Fetters (31),55,1996,R
393,382.,Brian Fuentes (29),55,2005,L
394,382.,Gene Garber (31),55,1979,R
395,382.,Gene Garber (39),55,1987,R
396,382.,Santiago Casilla (34),55,2015,R
397,382.,Ken Giles (26),55,2017,R
398,382.,Rich Gossage+ (25),55,1977,R
399,382.,Rich Gossage+ (26),55,1978,R
400,382.,Wayne Granger (25),55,1969,R
401,382.,Kevin Gregg (29),55,2007,R
402,382.,Eddie Guardado (34),55,2005,L
403,382.,Roberto Hernandez (36),55,2001,R
404,382.,Trevor Hoffman+ (33),55,2001,R
405,382.,Charlie Hough (28),55,1976,R
406,382.,Raisel Iglesias (29),55,2019,R
407,382.,Jose Jimenez (26),55,2000,R
408,382.,Todd Jones (37),55,2005,R
409,382.,Gary Lavelle (30),55,1979,L
410,382.,Brad Lidge (32),55,2009,R
411,382.,Stu Miller (37),55,1965,R
412,382.,Jeff Montgomery (29),55,1991,R
413,382.,Dale Murray (26),55,1976,R
414,382.,AJ Ramos (30),55,2017,R
415,382.,Addison Reed (25),55,2014,R
416,382.,Mariano Rivera+ (39),55,2009,R
417,382.,Mariano Rivera+ (40),55,2010,R
418,382.,David Robertson (29),55,2014,R
419,382.,Fernando Rodney (36),55,2013,R
420,382.,Francisco Rodriguez (33),55,2015,R
421,382.,Francisco Rodriguez (34),55,2016,R
422,382.,Takashi Saito (37),55,2007,R
423,382.,Kazuhiro Sasaki (34),55,2002,R
424,382.,Lee Smith+ (29),55,1987,R
425,382.,Lee Smith+ (34),55,1992,R
426,382.,John Smoltz+ (36),55,2003,R
427,382.,Huston Street (22),55,2006,R
428,382.,Ugueth Urbina (28),55,2002,R
429,382.,Jose Valverde (32),55,2010,R
430,382.,Billy Wagner (27),55,1999,L
431,382.,Bob Wickman (36),55,2005,R
432,382.,Bob Wickman (37),55,2006,R
433,382.,Hoyt Wilhelm+ (41),55,1964,R
434,382.,Mark Wohlers (27),55,1997,R
435,382.,Todd Worrell (37),55,1997,R
436,437.,Rick Aguilera (28),54,1990,R
437,437.,Luis Arroyo (34),54,1961,L
438,437.,John Axford (29),54,2012,R
439,437.,Andrew Bailey (25),54,2009,R
440,437.,Heath Bell (33),54,2011,R
441,437.,Armando Benitez (25),54,1998,R
442,437.,Pedro Borbon (30),54,1977,R
443,437.,Clay Carroll (31),54,1972,R
444,437.,Bill Caudill (26),54,1983,R
445,437.,Aroldis Chapman (27),54,2015,L
446,437.,Alex Colome (30),54,2019,R
447,437.,John Franco (37),54,1998,L
448,437.,Ryan Franklin (36),54,2009,R
449,437.,Mudcat Grant (34),54,1970,R
450,437.,Danny Graves (27),54,2001,R
451,437.,Danny Graves (28),54,2002,R
452,437.,Brad Hand (29),54,2019,L
453,437.,Bryan Harvey (30),54,1993,R
454,437.,Trevor Hoffman+ (31),54,1999,R
455,437.,Trevor Hoffman+ (37),54,2005,R
456,437.,Bob Howry (25),54,1999,R
457,437.,Jason Isringhausen (28),54,2001,R
458,437.,Jason Isringhausen (34),54,2007,R
459,437.,Tom Johnson (26),54,1977,R
460,437.,Todd Jones (39),54,2007,R
461,437.,Craig Kimbrel (26),54,2014,R
462,437.,Braden Looper (30),54,2005,R
463,437.,Dale Mohorcic (31),54,1987,R
464,437.,Jeff Montgomery (36),54,1998,R
465,437.,Joe Nathan (39),54,2014,R
466,437.,Robb Nen (25),54,1995,R
467,437.,Jonathan Papelbon (30),54,2011,R
468,437.,Jonathan Papelbon (32),54,2013,R
469,437.,Dan Quisenberry (33),54,1986,R
470,437.,Dave Righetti (28),54,1987,L
471,437.,Mariano Rivera+ (41),54,2011,R
472,437.,Don Robinson (30),54,1987,R
473,437.,Heathcliff Slocumb (29),54,1995,R
474,437.,Rafael Soriano (32),54,2012,R
475,437.,Dan Spillner (30),54,1982,R
476,437.,Brian Wilson (26),54,2008,R
477,437.,Todd Worrell (27),54,1987,R
478,437.,Todd Worrell (28),54,1988,R
479,480.,David Aardsma (27),53,2009,R
480,480.,Ted Abernathy (35),53,1968,R
481,480.,Steve Bedrosian (32),53,1990,R
482,480.,Rafael Betancourt (37),53,2012,R
483,480.,Joe Boever (28),53,1989,R
484,480.,Brad Boxberger (27),53,2015,R
485,480.,Aroldis Chapman (31),53,2019,L
486,480.,Alex Colome (28),53,2017,R
487,480.,Ron Davis (26),53,1982,R
488,480.,Ryan Dempster (28),53,2005,R
489,480.,Sam Dyson (28),53,2016,R
490,480.,Dennis Eckersley+ (33),53,1988,R
491,480.,Dennis Eckersley+ (41),53,1996,R
492,480.,Steve Foucault (24),53,1974,R
493,480.,John Franco (36),53,1997,L
494,480.,Tom Gordon (38),53,2006,R
495,480.,Luke Gregerson (31),53,2015,R
496,480.,Mike Henneman (28),53,1990,R
497,480.,Mike Henneman (30),53,1992,R
498,480.,Willie Hernandez (31),53,1986,L
499,480.,Al Holland (30),53,1983,L
500,480.,Charlie Hough (29),53,1977,R
501,480.,Doug Jones (32),53,1989,R
502,480.,Todd Jones (30),53,1998,R
503,480.,Craig Kimbrel (27),53,2015,R
504,480.,Sparky Lyle (34),53,1979,L
505,480.,Mike MacDougal (28),53,2005,R
506,480.,Ryan Madson (35),53,2016,R
507,480.,Andrew Miller (30),53,2015,L
508,480.,Sid Monge (28),53,1979,L
509,480.,Ed Nunez (22),53,1985,R
510,480.,Jonathan Papelbon (26),53,2007,R
511,480.,Jonathan Papelbon (29),53,2010,R
512,480.,Chris Perez (26),53,2012,R
513,480.,Glen Perkins (30),53,2013,L
514,480.,Dick Radatz (25),53,1962,R
515,480.,Jeff Reardon (26),53,1982,R
516,480.,Jeff Reardon (27),53,1983,R
517,480.,Dave Righetti (25),53,1984,L
518,480.,Dave Righetti (30),53,1989,L
519,480.,David Robertson (30),53,2015,R
520,480.,Fernando Rodney (40),53,2017,R
521,480.,Minnie Rojas (33),53,1967,R
522,480.,Lee Smith+ (32),53,1990,R
523,480.,Bob Stanley (28),53,1983,R
524,480.,Shawn Tolleson (27),53,2015,R
525,480.,Ugueth Urbina (27),53,2001,R
526,480.,Todd Worrell (35),53,1995,R
527,480.,John Wyatt (28),53,1963,R
528,480.,Jeff Zimmerman (28),53,2001,R
