,Rank,Player (age that year),Fielding % as C,Year,Throws
0,1.,Tucker Barnhart (29),1.0000,2020,R
1,1.,Lou Berberet (27),1.0000,1957,R
2,1.,Yogi Berra+ (33),1.0000,1958,R
3,1.,Rick Cerone (34),1.0000,1988,R
4,1.,Pete Daley (27),1.0000,1957,R
5,1.,Spud Davis (34),1.0000,1939,R
6,1.,Chris Hoiles (32),1.0000,1997,R
7,1.,Chris Iannetta (25),1.0000,2008,R
8,1.,Charles Johnson (25),1.0000,1997,R
9,1.,Mike Matheny (32),1.0000,2003,R
10,1.,James McCann (25),1.0000,2015,R
11,1.,Roberto Perez (31),1.0000,2020,R
12,1.,Salvador Perez (28),1.0000,2018,R
13,1.,Salvador Perez (30),1.0000,2020,R
14,1.,Austin Romine (31),1.0000,2020,R
15,1.,Buddy Rosar (31),1.0000,1946,R
16,1.,Will Smith (25),1.0000,2020,R
17,1.,Chris Snyder (27),1.0000,2008,R
18,1.,Kurt Suzuki (36),1.0000,2020,R
19,20.,Christian Vazquez (28),.9991,2019,R
20,21.,Tucker Barnhart (26),.9990,2017,R
21,22.,Brad Ausmus (36),.9989,2005,R
22,22.,Yadier Molina (36),.9989,2019,R
23,24.,Jason Castro (28),.9988,2015,R
24,24.,Sandy Leon (29),.9988,2018,R
25,24.,Mike Matheny (33),.9988,2004,R
26,24.,Mike Matheny (34),.9988,2005,R
27,24.,A.J. Pierzynski (28),.9988,2005,R
28,24.,Tony Wolters (27),.9988,2019,R
29,30.,Damian Miller (34),.9987,2004,R
30,30.,Chad Moeller (29),.9987,2004,R
31,30.,Bengie Molina (27),.9987,2002,R
32,30.,Tom Pagnozzi (29),.9987,1992,R
33,30.,A.J. Pierzynski (27),.9987,2004,R
34,30.,Chris Snyder (26),.9987,2007,R
35,30.,Dan Wilson (32),.9987,2001,R
36,37.,Joe Azcue (27),.9986,1967,R
37,37.,Brayan Pena (33),.9986,2015,R
38,39.,Wes Westrum (27),.9985,1950,R
39,40.,Mike LaValliere (30),.9984,1991,R
40,40.,Joe Mauer (24),.9984,2007,R
41,40.,Thurman Munson (24),.9984,1971,R
42,40.,Terry Steinbach (32),.9984,1994,R
43,40.,Dan Wilson (34),.9984,2003,R
44,45.,Rick Cerone (33),.9983,1987,R
45,45.,Yadier Molina (33),.9983,2016,R
46,47.,Ramon Hernandez (35),.9982,2011,R
47,47.,Martin Maldonado (30),.9982,2017,R
48,47.,Greg Olson (31),.9982,1992,R
49,47.,Gus Triandos (32),.9982,1963,R
50,51.,Ryan Hanigan (28),.9981,2009,R
51,51.,Elrod Hendricks (28),.9981,1969,R
52,51.,Brandon Inge (25),.9981,2002,R
53,51.,Sherm Lollar (36),.9981,1961,R
54,51.,Jason Phillips (27),.9981,2004,R
55,56.,Brad Ausmus (37),.9980,2006,R
56,56.,Elston Howard (35),.9980,1964,R
57,56.,Sherm Lollar (32),.9980,1957,R
58,56.,Russell Martin (30),.9980,2013,R
59,56.,Yadier Molina (35),.9980,2018,R
60,61.,Chris Hoiles (26),.9979,1991,R
61,61.,A.J. Pierzynski (36),.9979,2013,R
62,61.,Jason Varitek (32),.9979,2004,R
63,64.,Tucker Barnhart (27),.9978,2018,R
64,64.,Damon Berryhill (28),.9978,1992,R
65,64.,Brian McCann (28),.9978,2012,R
66,64.,Brian McCann (30),.9978,2014,R
67,64.,Gene Tenace (32),.9978,1979,R
68,64.,Mike Zunino (27),.9978,2018,R
69,70.,Tucker Barnhart (28),.9977,2019,R
70,70.,Kenji Johjima (31),.9977,2007,R
71,70.,Yadier Molina (31),.9977,2014,R
72,70.,Brian Schneider (27),.9977,2004,R
73,74.,Rick Dempsey (31),.9976,1981,R
74,74.,Earl Grace (25),.9976,1932,R
75,74.,Chris Iannetta (28),.9976,2011,R
76,74.,Tom Pagnozzi (31),.9976,1994,R
77,74.,A.J. Pierzynski (30),.9976,2007,R
78,74.,Buster Posey (28),.9976,2015,R
79,74.,Buster Posey (32),.9976,2019,R
80,81.,Brad Ausmus (30),.9975,1999,R
81,81.,Bill Freehan (28),.9975,1970,R
82,81.,Jesse Levis (28),.9975,1996,R
83,81.,Kirt Manwaring (27),.9975,1993,R
84,81.,Wilson Ramos (32),.9975,2020,R
85,81.,Ivan Rodriguez+ (34),.9975,2006,R
86,81.,Chris Stewart (31),.9975,2013,R
87,88.,Yogi Berra+ (34),.9974,1959,R
88,88.,Chris Iannetta (31),.9974,2014,R
89,88.,James McCann (27),.9974,2017,R
90,88.,Damian Miller (32),.9974,2002,R
91,88.,Roberto Perez (30),.9974,2019,R
92,88.,A.J. Pierzynski (38),.9974,2015,R
93,88.,Wilson Ramos (28),.9974,2016,R
94,88.,Bob Schmidt (29),.9974,1962,R
95,88.,Christian Vazquez (29),.9974,2020,R
96,97.,Tony Pena (32),.9973,1989,R
97,97.,Josh Phegley (31),.9973,2019,R
98,97.,Buddy Rosar (33),.9973,1948,R
99,97.,Carlos Ruiz (28),.9973,2007,R
100,101.,Brad Ausmus (34),.9972,2003,R
101,101.,Johnny Bench+ (28),.9972,1976,R
102,101.,Glenn Borgmann (24),.9972,1974,R
103,101.,Yadier Molina (29),.9972,2012,R
104,101.,Lance Parrish (35),.9972,1991,R
105,101.,Buster Posey (29),.9972,2016,R
106,101.,Buster Posey (31),.9972,2018,R
107,101.,Chris Snyder (24),.9972,2005,R
