,Rank,Player (age that year),Double Plays Grounded Into,Year,Bats
0,1.,Jim Rice+ (31),36,1984,R
1,2.,Jim Rice+ (32),35,1985,R
2,3.,Billy Butler (24),32,2010,R
3,3.,Ben Grieve (24),32,2000,L
4,3.,Jackie Jensen (27),32,1954,R
5,3.,Cal Ripken Jr.+ (24),32,1985,R
6,3.,Miguel Tejada (34),32,2008,R
7,8.,Tony Armas (29),31,1983,R
8,8.,Bobby Doerr+ (31),31,1949,R
9,8.,Matt Holliday (33),31,2013,R
10,8.,Casey McGehee (31),31,2014,R
11,8.,Jim Rice+ (30),31,1983,R
12,8.,Ivan Rodriguez+ (27),31,1999,R
13,14.,Brad Ausmus (33),30,2002,R
14,14.,Billy Hitchcock (33),30,1950,R
15,14.,Ernie Lombardi+ (30),30,1938,R
16,14.,Dave Winfield+ (31),30,1983,R
17,14.,Carl Yastrzemski+ (24),30,1964,L
18,19.,George Bell (32),29,1992,R
19,19.,Jimmy Bloodworth (25),29,1943,R
20,19.,Frank Howard (32),29,1969,R
21,19.,Frank Howard (34),29,1971,R
22,19.,Dave Philley (32),29,1952,B
23,19.,Martin Prado (29),29,2013,R
24,19.,Jim Presley (23),29,1985,R
25,19.,Albert Pujols (31),29,2011,R
26,19.,Jim Rice+ (29),29,1982,R
27,19.,Brooks Robinson+ (23),29,1960,R
28,19.,Ted Simmons+ (23),29,1973,B
29,19.,Miguel Tejada (35),29,2009,R
30,31.,Billy Butler (27),28,2013,R
31,31.,Miguel Cabrera (29),28,2012,R
32,31.,Julio Franco (27),28,1986,R
33,31.,Adrian Gonzalez (29),28,2011,L
34,31.,Sid Gordon (33),28,1951,R
35,31.,George Kell+ (21),28,1944,R
36,31.,Harmon Killebrew+ (34),28,1970,R
37,31.,Paul Konerko (27),28,2003,R
38,31.,Magglio Ordonez (26),28,2000,R
39,31.,Trevor Plouffe (29),28,2015,R
40,31.,Albert Pujols (34),28,2014,R
41,31.,Cal Ripken Jr.+ (35),28,1996,R
42,31.,Miguel Tejada (32),28,2006,R
43,44.,John Bateman (30),27,1971,R
44,44.,Bruce Bochte (28),27,1979,L
45,44.,Sean Casey (30),27,2005,L
46,44.,Julio Franco (30),27,1989,R
47,44.,Carl Furillo (34),27,1956,R
48,44.,Vladimir Guerrero+ (33),27,2008,R
49,44.,Billy Johnson (24),27,1943,R
50,44.,Eric Karros (28),27,1996,R
51,44.,Carlos Lee (31),27,2007,R
52,44.,Derrek Lee (32),27,2008,R
53,44.,Sherm Lollar (34),27,1959,R
54,44.,Evan Longoria (23),27,2009,R
55,44.,Victor Martinez (27),27,2006,B
56,44.,Yadier Molina (26),27,2009,R
57,44.,Magglio Ordonez (34),27,2008,R
58,44.,Jay Payton (30),27,2003,R
59,44.,Mike Piazza+ (30),27,1999,R
60,44.,A.J. Pierzynski (27),27,2004,L
61,44.,Kirby Puckett+ (31),27,1991,R
62,44.,Albert Pujols (27),27,2007,R
63,44.,Al Rosen (26),27,1950,R
64,44.,Ron Santo+ (33),27,1973,R
65,44.,Ken Singleton (26),27,1973,B
66,44.,Rusty Staub (33),27,1977,L
67,44.,Joe Vosmik (29),27,1939,R
68,44.,Carl Yastrzemski+ (22),27,1962,L
69,44.,Michael Young (29),27,2006,R
70,44.,Todd Zeile (36),27,2002,R
71,72.,Jerry Adair (28),26,1965,R
72,72.,Albert Belle (30),26,1997,R
73,72.,Lyman Bostock (27),26,1978,L
74,72.,Billy Butler (29),26,2015,R
75,72.,Miguel Cabrera (33),26,2016,R
76,72.,Ivan Calderon (28),26,1990,R
77,72.,Robinson Cano (32),26,2015,L
78,72.,Jeff Cirillo (28),26,1998,R
79,72.,Michael Cuddyer (31),26,2010,R
80,72.,Walt Dropo (29),26,1952,R
81,72.,Julio Franco (26),26,1985,R
82,72.,Sid Gordon (25),26,1943,R
83,72.,Gene Green (28),26,1961,R
84,72.,Shawn Green (29),26,2002,L
85,72.,Cleon Jones (27),26,1970,R
86,72.,Billy Jurges (31),26,1939,R
87,72.,Jason Kendall (31),26,2005,R
88,72.,Howie Kendrick (28),26,2012,R
89,72.,Ernie Lombardi+ (25),26,1933,R
90,72.,Manny Machado (25),26,2018,R
91,72.,Lee May (32),26,1975,R
92,72.,Willie Montanez (27),26,1975,L
93,72.,Willie Montanez (28),26,1976,L
94,72.,Dave Parker (34),26,1985,L
95,72.,Jhonny Peralta (26),26,2008,R
96,72.,Brandon Phillips (26),26,2007,R
97,72.,Mike Piazza+ (33),26,2002,R
98,72.,Albert Pujols (37),26,2017,R
99,72.,Pablo Sandoval (23),26,2010,B
100,72.,George Scott (31),26,1975,R
101,72.,Miguel Tejada (31),26,2005,R
102,72.,Joe Torre+ (23),26,1964,R
103,72.,John Wathan (32),26,1982,R
104,72.,Michael Young (35),26,2012,R
105,72.,Ryan Zimmerman (22),26,2007,R
106,107.,Joe Adcock (23),25,1951,R
107,107.,Jeff Bagwell+ (35),25,2003,R
108,107.,Adrian Beltre (31),25,2010,R
109,107.,Frank Bolling (29),25,1961,R
110,107.,Mike Bordick (33),25,1999,R
111,107.,Bill Buckner (36),25,1986,L
112,107.,Danny Cater (29),25,1969,R
113,107.,Royce Clayton (33),25,2003,R
114,107.,Rocky Colavito (32),25,1966,R
115,107.,Ron Coomer (33),25,2000,R
116,107.,Deivi Cruz (27),25,2000,R
117,107.,Sam Dente (28),25,1950,R
118,107.,Bobby Doerr+ (29),25,1947,R
119,107.,Del Ennis (25),25,1950,R
120,107.,David Freese (30),25,2013,R
121,107.,Gary Gaetti (28),25,1987,R
122,107.,Steve Garvey (30),25,1979,R
123,107.,Steve Garvey (35),25,1984,R
124,107.,Steve Garvey (36),25,1985,R
125,107.,Troy Glaus (29),25,2006,R
126,107.,Paul Goldschmidt (25),25,2013,R
127,107.,Mark Grace (29),25,1993,L
128,107.,Charlie Hayes (28),25,1993,R
129,107.,George Hendrick (25),25,1975,R
130,107.,Alex Johnson (27),25,1970,R
131,107.,Nippy Jones (23),25,1948,R
132,107.,Matt Kemp (32),25,2017,R
133,107.,Paul Konerko (30),25,2006,R
134,107.,Kevin Kouzmanoff (27),25,2009,R
135,107.,James Loney (24),25,2008,L
136,107.,Jose Lopez (25),25,2009,R
137,107.,Bill Madlock (26),25,1977,R
138,107.,Hideki Matsui (29),25,2003,L
139,107.,Carlos May (22),25,1970,L
140,107.,Paul O'Neill (32),25,1995,L
141,107.,Hunter Pence (26),25,2009,R
142,107.,Tony Perez+ (38),25,1980,R
143,107.,Lou Piniella (28),25,1972,R
144,107.,Aramis Ramirez (26),25,2004,R
145,107.,Ken Reitz (23),25,1974,R
146,107.,Ivan Rodriguez+ (38),25,2010,R
147,107.,Ron Santo+ (21),25,1961,R
148,107.,George Scott (22),25,1966,R
149,107.,George Scott (30),25,1974,R
150,107.,Andrelton Simmons (24),25,2014,R
151,107.,Ted Sizemore (32),25,1977,R
152,107.,Vern Stephens (27),25,1948,R
153,107.,Frank Thomas+ (28),25,1996,R
154,107.,Al Todd (36),25,1938,R
155,107.,Bill Tuttle (25),25,1955,R
156,157.,José Abreu (32),24,2019,R
157,157.,Jerry Adair (32),24,1969,R
158,157.,Jose Altuve (23),24,2013,R
159,157.,Garrett Atkins (26),24,2006,R
160,157.,Buddy Bell (26),24,1978,R
161,157.,Buddy Bell (31),24,1983,R
