,Rank,Player (age that year),Power-Speed #,Year,Bats
0,1.,Alex Rodriguez (22),43.91,1998,R
1,2.,Alfonso Soriano (30),43.36,2006,R
2,3.,Eric Davis (25),42.53,1987,R
3,4.,Rickey Henderson+ (27),42.37,1986,R
4,5.,Barry Bonds (31),40.98,1996,L
5,5.,Jose Canseco (23),40.98,1988,R
6,7.,Bobby Bonds (27),40.90,1973,R
7,8.,Barry Bonds (25),40.38,1990,L
8,9.,Eric Davis (24),40.37,1986,R
9,10.,Alfonso Soriano (26),39.98,2002,R
10,11.,Carlos Beltran (27),39.90,2004,B
11,12.,Vladimir Guerrero+ (27),39.49,2002,R
12,12.,Matt Kemp (26),39.49,2011,R
13,14.,Larry Walker+ (30),39.44,1997,L
14,15.,Rickey Henderson+ (31),39.14,1990,R
15,16.,Ronald Acuna Jr. (21),38.90,2019,R
16,16.,Bobby Bonds (31),38.90,1977,R
17,18.,Barry Bonds (32),38.44,1997,L
18,19.,Howard Johnson (28),38.34,1989,B
19,20.,Ken Williams (32),37.97,1922,L
20,21.,Willie Mays+ (25),37.90,1956,R
21,22.,Joe Morgan+ (29),37.46,1973,L
22,23.,Darryl Strawberry (25),37.44,1987,L
23,24.,Bobby Bonds (23),37.40,1969,R
24,25.,Joe Morgan+ (32),37.24,1976,L
25,26.,Mike Trout (20),37.22,2012,R
26,27.,Hanley Ramirez (23),36.98,2007,R
27,28.,Rickey Henderson+ (26),36.92,1985,R
28,29.,Willie Mays+ (26),36.44,1957,R
29,29.,Alfonso Soriano (27),36.44,2003,R
30,31.,Hank Aaron+ (29),36.37,1963,R
31,32.,Barry Bonds (27),36.33,1992,L
32,32.,Jose Ramirez (25),36.33,2018,B
33,34.,Jeff Bagwell+ (29),36.03,1997,R
34,34.,Bobby Bonds (32),36.03,1978,R
35,36.,Cesar Cedeno (23),35.71,1974,R
36,37.,Christian Yelich (27),35.68,2019,L
37,38.,Barry Bonds (28),35.57,1993,L
38,38.,Jose Canseco (33),35.57,1998,R
39,40.,Ellis Burks (31),35.56,1996,R
40,41.,Vladimir Guerrero+ (26),35.44,2001,R
41,42.,Grady Sizemore (25),35.32,2008,L
42,43.,Jacoby Ellsbury (27),35.16,2011,L
43,44.,Ryne Sandberg+ (25),35.10,1985,R
44,45.,Jeff Bagwell+ (31),35.00,1999,R
45,45.,Shawn Green (25),35.00,1998,L
46,47.,Sammy Sosa (26),34.97,1995,R
47,48.,Ryan Braun (28),34.65,2012,R
48,48.,Jimmy Rollins (28),34.65,2007,B
49,50.,Cesar Cedeno (22),34.57,1973,R
50,51.,Barry Larkin+ (32),34.44,1996,R
51,51.,Raul Mondesi (28),34.44,1999,R
52,51.,Sammy Sosa (24),34.44,1993,R
53,54.,Bobby Abreu (30),34.29,2004,L
54,55.,Davey Lopes (34),34.22,1979,R
55,56.,Tommy Harper (29),34.15,1970,R
56,57.,Hanley Ramirez (24),33.97,2008,R
57,58.,Howard Johnson (26),33.88,1987,B
58,59.,Bobby Bonds (24),33.73,1970,R
59,60.,Howard Johnson (30),33.53,1991,B
60,61.,Bobby Abreu (27),33.31,2001,L
61,61.,Preston Wilson (25),33.31,2000,R
62,63.,Darryl Strawberry (26),33.27,1988,L
63,64.,Alex Rodriguez (31),33.23,2007,R
64,65.,Ryan Braun (27),33.00,2011,R
65,66.,Jose Cruz (27),32.97,2001,B
66,66.,Ron Gant (26),32.97,1991,R
67,68.,Mike Schmidt+ (25),32.90,1975,R
68,69.,Dale Murphy (27),32.73,1983,R
69,69.,Alfonso Soriano (29),32.73,2005,R
70,71.,Bobby Bonds (26),32.69,1972,R
71,71.,Jose Canseco (26),32.69,1991,R
72,73.,Willie Mays+ (24),32.64,1955,R
73,74.,Barry Bonds (29),32.52,1994,L
74,75.,Ron Gant (25),32.49,1990,R
75,76.,Chipper Jones+ (27),32.14,1999,B
76,77.,Ken Griffey Jr.+ (29),32.00,1999,L
77,78.,Barry Bonds (30),31.97,1995,L
78,79.,Joe Morgan+ (30),31.90,1974,L
79,80.,Barry Bonds (33),31.88,1998,L
80,80.,David Wright (24),31.88,2007,R
81,82.,Carlos Beltran (26),31.82,2003,B
82,83.,Carlos Beltran (25),31.72,2002,B
83,84.,Barry Bonds (26),31.62,1991,L
84,85.,Alex Rodriguez (28),31.50,2004,R
85,85.,Reggie Sanders (27),31.50,1995,R
86,87.,Joe Carter (27),31.49,1987,R
87,88.,Cesar Cedeno (21),31.43,1972,R
88,89.,Trevor Story (25),31.22,2018,R
89,90.,Lloyd Moseby (27),31.20,1987,L
90,91.,Juan Samuel (26),31.11,1987,R
91,92.,Curtis Granderson (30),31.06,2011,L
92,92.,Mark Reynolds (25),31.06,2009,R
93,94.,Dante Bichette (32),31.00,1996,R
94,94.,Ian Kinsler (27),31.00,2009,R
95,96.,Mookie Betts (25),30.97,2018,R
96,96.,Bobby Bonds (29),30.97,1975,R
97,96.,Ian Kinsler (29),30.97,2011,R
98,96.,Raul Mondesi (26),30.97,1997,R
99,96.,Brandon Phillips (26),30.97,2007,R
100,101.,Ryne Sandberg+ (30),30.77,1990,R
101,102.,Kirk Gibson (29),30.71,1986,L
102,103.,Joe Morgan+ (33),30.37,1977,L
103,104.,Ron Gant (28),30.19,1993,R
104,104.,Reggie Sanders (31),30.19,1999,R
105,106.,Francisco Lindor (24),30.16,2018,B
106,107.,Willie Mays+ (28),30.10,1959,R
107,108.,Brady Anderson (28),30.08,1992,L
108,108.,Rickey Henderson+ (34),30.08,1993,R
109,110.,Carlos Gomez (27),30.00,2013,R
110,110.,Jonathan Villar (28),30.00,2019,B
111,112.,Craig Biggio+ (31),29.97,1997,R
112,112.,Willie Mays+ (27),29.97,1958,R
113,114.,Lou Brock+ (28),29.92,1967,L
114,115.,Eric Davis (26),29.84,1988,R
115,116.,Mike Trout (26),29.71,2018,R
116,117.,Mike Trout (21),29.70,2013,R
117,118.,Brady Anderson (32),29.58,1996,L
118,118.,Eric Byrnes (31),29.58,2007,R
119,120.,Jimmy Rollins (27),29.51,2006,B
120,121.,Kirk Gibson (28),29.49,1985,L
121,121.,Mike Trout (24),29.49,2016,R
122,123.,Carlos Gonzalez (24),29.47,2010,L
123,123.,Ken Griffey Jr.+ (28),29.47,1998,L
124,123.,Matt Kemp (24),29.47,2009,R
125,126.,Melvin Upton Jr. (27),29.42,2012,R
126,127.,Tommie Agee (23),29.33,1966,R
127,128.,Jose Reyes (23),29.30,2006,B
128,129.,Chris Young (23),29.29,2007,R
129,130.,Alex Rodriguez (29),29.22,2005,R
130,131.,Carl Yastrzemski+ (30),29.21,1970,L
131,132.,Harry Stovey (32),29.20,1889,R
132,133.,Andre Dawson+ (24),29.17,1979,R
133,133.,Ivan Rodriguez+ (27),29.17,1999,R
134,135.,Roberto Alomar+ (31),29.12,1999,B
135,136.,Jim Wynn (23),29.11,1965,R
136,137.,Bobby Bonds (25),29.09,1971,R
137,137.,Jonathan Villar (25),29.09,2016,B
138,139.,Joe Carter (26),29.00,1986,R
139,140.,Andre Dawson+ (27),28.94,1982,R
140,141.,Bert Campaneris (28),28.88,1970,R
141,142.,Andruw Jones (21),28.86,1998,R
142,143.,Bobby Bonds (33),28.81,1979,R
143,143.,Mike Cameron (28),28.81,2001,R
144,145.,Brady Anderson (35),28.80,1999,L
145,146.,Aaron Boone (29),28.69,2002,R
146,146.,Bo Jackson (26),28.69,1989,R
147,148.,Albert Belle (26),28.66,1993,R
148,149.,Craig Biggio+ (32),28.57,1998,R
149,150.,Hank Aaron+ (34),28.49,1968,R
150,151.,Hank Aaron+ (32),28.43,1966,R
151,152.,Raul Mondesi (30),28.42,2001,R
152,153.,Shawn Green (28),28.41,2001,L
153,154.,Sammy Sosa (29),28.29,1998,R
154,155.,Mookie Betts (23),28.28,2016,R
155,155.,Ray Lankford (31),28.28,1998,L
156,157.,Don Baylor (26),28.07,1975,R
157,157.,Barry Bonds (22),28.07,1987,L
158,157.,Andre Dawson+ (28),28.07,1983,R
159,157.,Dale Murphy (26),28.07,1982,R
160,157.,Mike Schmidt+ (24),28.07,1974,R
161,157.,Melvin Upton Jr. (26),28.07,2011,R
162,163.,Wil Myers (25),28.00,2016,R
163,163.,Mitchell Page (25),28.00,1977,L
164,163.,Alex Rodriguez (23),28.00,1999,R
165,166.,Marquis Grissom (26),27.97,1993,R
166,166.,Juan Samuel (24),27.97,1985,R
167,168.,Kirk Gibson (27),27.96,1984,L
168,169.,Grady Sizemore (24),27.79,2007,L
169,170.,Bobby Bonds (28),27.77,1974,R
170,171.,Trevor Story (26),27.76,2019,R
171,172.,Mike Cameron (29),27.68,2002,R
172,172.,Kirk Gibson (31),27.68,1988,L
173,172.,Magglio Ordonez (27),27.68,2001,R
174,175.,Rafael Palmeiro (28),27.59,1993,L
175,175.,Frank Robinson+ (25),27.59,1961,R
176,177.,Reggie Jackson+ (30),27.49,1976,L
177,177.,Darryl Strawberry (24),27.49,1986,L
178,177.,Chris Young (26),27.49,2010,R
179,180.,Cesar Cedeno (25),27.47,1976,R
180,180.,Carl Crawford (24),27.47,2006,L
181,180.,Rickey Henderson+ (32),27.47,1991,R
182,183.,Carlos Gomez (28),27.44,2014,R
183,183.,Howard Johnson (29),27.44,1990,B
184,185.,Hank Aaron+ (31),27.43,1965,R
185,185.,Jose Altuve (27),27.43,2017,R
186,185.,Paul Goldschmidt (28),27.43,2016,R
187,185.,Corey Patterson (24),27.43,2004,L
188,185.,Devon White (24),27.43,1987,B
189,190.,Darryl Strawberry (23),27.42,1985,L
190,191.,Don Baylor (30),27.31,1979,R
191,191.,Sammy Sosa (28),27.31,1997,R
192,191.,Christian Yelich (26),27.31,2018,L
193,194.,Andy Van Slyke (27),27.27,1988,L
194,195.,Joe Morgan+ (31),27.12,1975,L
195,196.,Carlos Beltran (30),27.11,2007,B
196,196.,Jim Wynn (27),27.11,1969,R
197,198.,Shawn Green (26),27.10,1999,L
198,198.,Ray Lankford (25),27.10,1992,L
199,200.,Bobby Abreu (31),27.06,2005,L
200,200.,Tommie Agee (27),27.06,1970,R
201,200.,Carlos Beltran (24),27.06,2001,B
202,200.,Carl Crawford (28),27.06,2010,L
203,200.,Willie Mays+ (33),27.06,1964,R
204,205.,Mike Cameron (26),27.05,1999,R
205,206.,Joe Carter (28),27.00,1988,R
206,206.,Toby Harrah (28),27.00,1977,R
207,208.,Von Hayes (30),26.96,1989,L
208,209.,Bug Holliday (22),26.89,1889,R
209,210.,Reggie Jackson+ (28),26.85,1974,L
210,210.,Willie Mays+ (29),26.85,1960,R
211,212.,Pedro Guerrero (27),26.76,1983,R
212,213.,Alex Rodriguez (25),26.74,2001,R
213,214.,Don Baylor (29),26.71,1978,R
214,215.,Jose Altuve (26),26.67,2016,R
215,216.,Ben Chapman (22),26.59,1931,R
216,217.,Andruw Jones (23),26.53,2000,R
217,218.,Corey Koskie (28),26.49,2001,L
218,218.,Raul Mondesi (24),26.49,1995,R
219,218.,Dwayne Murphy (27),26.49,1982,L
220,218.,Darryl Strawberry (22),26.49,1984,L
221,222.,Tim Raines+ (27),26.47,1987,B
222,223.,AJ Pollock (27),26.44,2015,R
223,224.,Bobby Abreu (26),26.42,2000,L
224,224.,Andre Dawson+ (23),26.42,1978,R
225,224.,Darin Erstad (26),26.42,2000,L
226,224.,Matt Holliday (28),26.42,2008,R
227,228.,Chase Utley (30),26.41,2009,L
228,229.,Craig Biggio+ (29),26.40,1995,R
229,229.,Babe Ruth+ (26),26.40,1921,L
230,229.,Mike Trout (25),26.40,2017,R
231,232.,Trea Turner (25),26.36,2018,R
232,233.,Willie Mays+ (31),26.33,1962,R
233,234.,Ray Lankford (29),26.25,1996,L
234,235.,Chuck Klein+ (27),26.21,1932,L
235,236.,Hugh Duffy+ (27),26.18,1894,R
236,237.,George Sisler+ (27),26.16,1920,L
237,238.,Pedro Guerrero (26),26.07,1982,R
238,238.,Reggie Jackson+ (27),26.07,1973,L
239,238.,Francisco Lindor (25),26.07,2019,B
240,238.,Amos Otis (31),26.07,1978,R
241,242.,Ryan Klesko (30),26.04,2001,L
242,242.,Jimmy Rollins (33),26.04,2012,B
243,244.,Andres Galarraga (35),26.03,1996,R
244,245.,Kal Daniels (23),26.00,1987,L
245,246.,Roberto Alomar+ (25),25.97,1993,B
246,246.,Paul Molitor+ (25),25.97,1982,R
247,248.,Hank Aaron+ (27),25.96,1961,R
248,248.,Javier Baez (25),25.96,2018,R
249,248.,Carlos Beltran (31),25.96,2008,B
250,248.,Eric Davis (27),25.96,1989,R
251,248.,Carl Everett (28),25.96,1999,B
252,248.,Bo Jackson (25),25.96,1988,R
253,248.,Alex Rios (29),25.96,2010,R
254,248.,Fernando Tatis (24),25.96,1999,R
255,248.,Andy Van Slyke (26),25.96,1987,L
256,257.,Tommy Harper (32),25.86,1973,R
257,258.,Rickey Henderson+ (25),25.76,1984,R
258,259.,Jayson Werth (30),25.71,2009,R
259,260.,Paul Goldschmidt (27),25.67,2015,R
260,260.,Ruppert Jones (24),25.67,1979,L
261,262.,Ron Gant (30),25.65,1995,R
262,262.,Torii Hunter (26),25.65,2002,R
263,262.,Frank Robinson+ (28),25.65,1964,R
264,262.,Alex Rodriguez (21),25.65,1997,R
265,266.,Roberto Alomar+ (32),25.55,2000,B
266,267.,Lou Brock+ (26),25.52,1965,L
267,268.,Hanley Ramirez (22),25.50,2006,R
268,269.,Don Baylor (28),25.49,1977,R
269,269.,Eric Byrnes (30),25.49,2006,R
270,271.,Eric Davis (31),25.46,1993,R
271,271.,Manny Machado (22),25.46,2015,R
272,273.,Hanley Ramirez (25),25.41,2009,R
273,273.,Jim Wynn (28),25.41,1970,R
274,275.,Mike Cameron (31),25.39,2004,R
275,275.,Steve Finley (31),25.39,1996,L
276,275.,Nomar Garciaparra (23),25.39,1997,R
277,275.,Drew Stubbs (25),25.39,2010,R
278,279.,Alfonso Soriano (25),25.38,2001,R
279,280.,Jason Bay (26),25.36,2005,R
280,280.,Willie Davis (22),25.36,1962,L
281,280.,Lloyd Moseby (26),25.36,1986,L
