,Rank,Player (age that year),Def. Games as P,Year,Throws
0,1.,Mike Marshall (31),106,1974,R
1,2.,Kent Tekulve (32),94,1979,R
2,2.,Salomon Torres (34),94,2006,R
3,4.,Pedro Feliciano (33),92,2010,L
4,4.,Mike Marshall (30),92,1973,R
5,6.,Kent Tekulve (31),91,1978,R
6,7.,Wayne Granger (25),90,1969,R
7,7.,Mike Marshall (36),90,1979,R
8,7.,Kent Tekulve (40),90,1987,R
9,10.,Jim Brower (31),89,2004,R
10,10.,Mark Eichhorn (26),89,1987,R
11,10.,Steve Kline (28),89,2001,L
12,10.,Paul Quantrill (34),89,2003,R
13,10.,Julian Tavarez (24),89,1997,R
14,15.,Pedro Feliciano (32),88,2009,L
15,15.,Mike Myers (28),88,1997,L
16,15.,Jon Rauch (28),88,2007,R
17,15.,Sean Runyan (24),88,1998,L
18,15.,Wilbur Wood (26),88,1968,L
19,20.,Peter Moylan (30),87,2009,R
20,20.,Rob Murphy (27),87,1987,L
21,22.,Scott Eyre (33),86,2005,L
22,22.,Pedro Feliciano (31),86,2008,L
23,22.,Ray King (30),86,2004,L
24,22.,Paul Quantrill (33),86,2002,R
25,22.,Paul Quantrill (35),86,2004,R
26,22.,Oscar Villarreal (21),86,2003,R
27,28.,Matt Capps (22),85,2006,R
28,28.,Randy Choate (34),85,2010,L
29,28.,Peter Moylan (31),85,2010,R
30,28.,Jon Rauch (27),85,2006,R
31,28.,Saul Rivera (29),85,2007,R
32,28.,Kent Tekulve (35),85,1982,R
33,28.,Jonny Venters (26),85,2011,L
34,28.,Frank Williams (29),85,1987,R
35,28.,Mitch Williams (22),85,1987,L
36,37.,Ted Abernathy (32),84,1965,R
37,37.,Stan Belinda (30),84,1997,R
38,37.,Rheal Cormier (37),84,2004,L
39,37.,Bob Howry (32),84,2006,R
40,37.,Billy Koch (27),84,2002,R
41,37.,Graeme Lloyd (34),84,2001,L
42,37.,Dan Quisenberry (32),84,1985,R
43,37.,Chris Reitsma (26),84,2004,R
44,37.,Enrique Romo (31),84,1979,R
45,37.,Dick Tidrow (33),84,1980,R
46,37.,Salomon Torres (32),84,2004,R
47,48.,Joe Beimel (30),83,2007,L
48,48.,Jonathan Broxton (23),83,2007,R
49,48.,Alex Claudio (27),83,2019,L
50,48.,Octavio Dotel (28),83,2002,R
51,48.,Scott Eyre (32),83,2004,L
52,48.,Eddie Guardado (25),83,1996,L
53,48.,Steve Kline (27),83,2000,L
54,48.,Craig Lefferts (28),83,1986,L
55,48.,Mike Myers (27),83,1996,L
56,48.,Will Ohman (30),83,2008,L
57,48.,Scott Proctor (29),83,2006,R
