,Rank,Player (age that year),Fielding % as 2B,Year,Throws
0,1.,David Eckstein (35),1.0000,2010,R
1,1.,Placido Polanco (31),1.0000,2007,R
2,3.,Darwin Barney (26),.9973,2012,R
3,3.,Placido Polanco (33),.9973,2009,R
4,5.,Dustin Pedroia (30),.9969,2014,R
5,6.,Mark Ellis (29),.9968,2006,R
6,7.,Bret Boone (28),.9967,1997,R
7,7.,Bobby Grich (36),.9967,1985,R
8,9.,David Eckstein (34),.9964,2009,R
9,10.,Brandon Phillips (33),.9962,2014,R
10,11.,Robinson Cano (27),.9961,2010,R
11,12.,Robinson Cano (33),.9960,2016,R
12,13.,Brandon Phillips (29),.9957,2010,R
13,14.,Jose Oquendo (26),.9956,1990,R
14,15.,Mark Ellis (34),.9953,2011,R
15,16.,Jamey Carroll (32),.9949,2006,R
16,16.,Jody Reed (31),.9949,1994,R
17,16.,Ryne Sandberg+ (31),.9949,1991,R
18,19.,Rob Wilfong (26),.9948,1980,R
19,20.,Bobby Grich (24),.9947,1973,R
20,20.,Placido Polanco (28),.9947,2004,R
21,20.,Placido Polanco (29),.9947,2005,R
22,23.,Mark Ellis (33),.9945,2010,R
23,23.,Marco Scutaro (28),.9945,2004,R
24,23.,Frank White (37),.9945,1988,R
25,26.,Jonathan Schoop (28),.9943,2020,R
26,27.,Bret Boone (26),.9941,1995,R
27,27.,Mark Lemke (28),.9941,1994,R
28,27.,Jose Oquendo (25),.9941,1989,R
29,30.,Jody Reed (32),.9940,1995,R
30,30.,Luis Rivas (24),.9940,2004,R
31,32.,Jerry Adair (27),.9939,1964,R
32,32.,Ozzie Albies (22),.9939,2019,R
33,32.,Mark Ellis (35),.9939,2012,R
34,35.,Roberto Alomar+ (27),.9938,1995,R
35,35.,Mark Ellis (30),.9938,2007,R
36,35.,Ryne Sandberg+ (26),.9938,1986,R
37,38.,Tim Cullen (28),.9937,1970,R
38,38.,Mark Grudzielanek (36),.9937,2006,R
39,38.,Chuck Knoblauch (25),.9937,1994,R
40,38.,Jose Lind (29),.9937,1993,R
41,38.,Mark Loretta (34),.9937,2006,R
42,38.,Manny Trillo (31),.9937,1982,R
43,44.,Ketel Marte (26),.9936,2020,R
44,45.,Adam Frazier (28),.9935,2020,R
45,45.,Johnny Ray (29),.9935,1986,R
46,45.,Lou Whitaker (34),.9935,1991,R
47,48.,Darwin Barney (27),.9934,2013,R
48,48.,Red Schoendienst+ (33),.9934,1956,R
49,50.,DJ LeMahieu (29),.9932,2018,R
50,51.,Tito Fuentes (29),.9931,1973,R
51,51.,Ryne Sandberg+ (24),.9931,1984,R
52,53.,Edgardo Alfonzo (25),.9930,1999,R
53,53.,Mark Ellis (31),.9930,2008,R
54,53.,Joe Morgan+ (33),.9930,1977,R
55,53.,Snuffy Stirnweiss (29),.9930,1948,R
56,57.,Roberto Alomar+ (33),.9928,2001,R
57,57.,Jody Reed (30),.9928,1993,R
58,57.,Ben Zobrist (32),.9928,2013,R
59,60.,Orlando Hudson (33),.9927,2011,R
60,60.,Manuel Lee (25),.9927,1990,R
61,60.,Dustin Pedroia (29),.9927,2013,R
62,63.,Brian Dozier (30),.9926,2017,R
63,63.,Mickey Morandini (32),.9926,1998,R
64,65.,Roberto Alomar+ (24),.9925,1992,R
65,65.,Jose Altuve (25),.9925,2015,R
66,65.,Bobby Doerr+ (30),.9925,1948,R
67,65.,Jed Lowrie (34),.9925,2018,R
68,69.,Tom Herr (28),.9924,1984,R
69,70.,Neil Walker (25),.9923,2011,R
70,71.,Brandon Phillips (31),.9922,2012,R
71,71.,Ryne Sandberg+ (29),.9922,1989,R
72,73.,Aaron Hill (30),.9921,2012,R
73,73.,Neil Walker (28),.9921,2014,R
74,75.,Jedd Gyorko (24),.9920,2013,R
75,75.,Dustin Pedroia (28),.9920,2012,R
76,77.,Roberto Alomar+ (31),.9919,1999,R
77,77.,Bill Doran (29),.9919,1987,R
78,77.,Jose Lind (28),.9919,1992,R
79,80.,Wilmer Difo (26),.9918,2018,R
80,80.,Brian Dozier (26),.9918,2013,R
81,80.,Dee Strange-Gordon (27),.9918,2015,R
82,80.,Dustin Pedroia (24),.9918,2008,R
83,84.,Robinson Cano (29),.9917,2012,R
84,84.,Chuck Knoblauch (23),.9917,1992,R
85,84.,Joe Panik (25),.9917,2016,R
86,84.,Brandon Phillips (30),.9917,2011,R
87,88.,Bill Mazeroski+ (29),.9916,1966,R
88,88.,Jackie Robinson+ (32),.9916,1951,R
89,90.,Bret Boone (27),.9915,1996,R
90,90.,Tom Herr (25),.9915,1981,R
91,90.,DJ LeMahieu (27),.9915,2016,R
92,90.,Steve Lombardozzi (26),.9915,1986,R
93,90.,Ski Melillo (33),.9915,1933,R
94,95.,Robinson Cano (32),.9914,2015,R
95,95.,Rich Dauer (27),.9914,1980,R
96,95.,Orlando Hudson (27),.9914,2005,R
97,98.,Luis Castillo (28),.9913,2004,R
98,98.,Luis Castillo (31),.9913,2007,R
99,98.,Jason Kipnis (25),.9913,2012,R
100,98.,Hal Lanier (23),.9913,1966,R
101,98.,Mickey Morandini (26),.9913,1992,R
102,98.,Freddy Sanchez (32),.9913,2010,R
103,104.,Roberto Alomar+ (26),.9912,1994,R
104,104.,Aaron Hill (27),.9912,2009,R
105,104.,Adam Kennedy (29),.9912,2005,R
106,104.,Mike Lansing (27),.9912,1995,R
107,108.,DJ LeMahieu (25),.9911,2014,R
108,108.,Jose Lind (26),.9911,1990,R
109,108.,Mickey Morandini (33),.9911,1999,R
110,108.,Chris Owings (23),.9911,2015,R
111,112.,Dustin Pedroia (25),.9910,2009,R
112,112.,Lou Whitaker (33),.9910,1990,R
113,114.,Robinson Cano (30),.9909,2013,R
114,114.,Doug Flynn (29),.9909,1980,R
115,114.,Jed Lowrie (33),.9909,2017,R
116,114.,Kazuo Matsui (33),.9909,2009,R
117,114.,Joe Morgan+ (37),.9909,1981,R
118,114.,Brandon Phillips (34),.9909,2015,R
119,114.,Cookie Rojas (32),.9909,1971,R
120,121.,Luis Castillo (30),.9908,2006,R
121,121.,Ryne Sandberg+ (36),.9908,1996,R
122,123.,Bernie Allen (29),.9907,1968,R
123,123.,Glenn Hubbard (23),.9907,1981,R
124,125.,Pokey Reese (26),.9906,1999,R
125,125.,Brian Roberts (29),.9906,2007,R
126,125.,Chuck Schilling (23),.9906,1961,R
127,128.,Dick Green (23),.9905,1964,R
128,128.,Tony Kemp (28),.9905,2020,R
129,128.,Nicky Lopez (25),.9905,2020,R
130,128.,Frank White (32),.9905,1983,R
131,132.,Dustin Pedroia (23),.9904,2007,R
132,132.,Freddy Sanchez (31),.9904,2009,R
133,132.,Ryne Sandberg+ (32),.9904,1992,R
134,132.,Red Schoendienst+ (28),.9904,1951,R
135,136.,Marty Barrett (30),.9903,1988,R
136,136.,Mark Lemke (29),.9903,1995,R
137,136.,Dustin Pedroia (27),.9903,2011,R
138,136.,Steve Sax (31),.9903,1991,R
139,140.,John Castino (28),.9902,1983,R
140,140.,Bobby Doerr+ (25),.9902,1943,R
141,140.,Damion Easley (30),.9902,2000,R
142,140.,Grady Hatton (29),.9902,1952,R
143,140.,Adam Kennedy (27),.9902,2003,R
144,140.,Jason Kipnis (32),.9902,2019,R
145,140.,Mickey Morandini (31),.9902,1997,R
146,140.,Joe Morgan+ (28),.9902,1972,R
147,140.,Dustin Pedroia (32),.9902,2016,R
148,149.,Nellie Fox+ (34),.9901,1962,R
149,149.,Brandon Phillips (27),.9901,2008,R
150,151.,Gordon Beckham (25),.9900,2012,R
151,151.,Bret Boone (34),.9900,2003,R
152,151.,Tom Herr (33),.9900,1989,R
153,151.,Tadahito Iguchi (32),.9900,2007,R
154,151.,Davey Johnson (29),.9900,1972,R
155,151.,Mickey Morandini (27),.9900,1993,R
156,151.,Yolmer Sanchez (23),.9900,2015,R
157,151.,Scott Spiezio (24),.9900,1997,R
158,159.,Mark Grudzielanek (35),.9899,2005,R
159,159.,D'Angelo Jimenez (26),.9899,2004,R
160,159.,Howie Kendrick (31),.9899,2015,R
161,159.,Mark Loretta (31),.9899,2003,R
162,159.,Ketel Marte (24),.9899,2018,R
163,159.,Jody Reed (27),.9899,1990,R
164,165.,Akinori Iwamura (29),.9898,2008,R
165,165.,Brandon Phillips (26),.9898,2007,R
166,167.,Doug Griffin (26),.9897,1973,R
167,167.,Tommy Helms (30),.9897,1971,R
168,167.,Davey Johnson (27),.9897,1970,R
169,167.,Jerry Remy (30),.9897,1983,R
170,171.,Hanser Alberto (27),.9896,2020,R
171,171.,Horace Clarke (28),.9896,1967,R
172,171.,Craig Counsell (34),.9896,2005,R
173,171.,Brian Dozier (28),.9896,2015,R
174,171.,Joe Morgan+ (29),.9896,1973,R
175,176.,Ronnie Belliard (32),.9895,2007,R
176,176.,Toby Harrah (36),.9895,1985,R
177,176.,Jeff Keppinger (30),.9895,2010,R
178,176.,Todd Walker (29),.9895,2002,R
179,176.,Kolten Wong (29),.9895,2020,R
180,181.,Tom Herr (31),.9894,1987,R
181,181.,Ryne Sandberg+ (30),.9894,1990,R
182,181.,Neil Walker (27),.9894,2013,R
183,181.,Neil Walker (29),.9894,2015,R
184,181.,Frank White (26),.9894,1977,R
185,186.,Craig Biggio+ (40),.9893,2006,R
186,186.,Jeff Kent (36),.9893,2004,R
187,186.,Freddy Sanchez (30),.9893,2008,R
188,186.,Chase Utley (37),.9893,2016,R
189,190.,Wally Backman (25),.9892,1985,R
190,190.,Frank Bolling (30),.9892,1962,R
191,190.,Adam Frazier (27),.9892,2019,R
192,190.,Felix Millan (29),.9892,1973,R
193,190.,Ron Oester (29),.9892,1985,R
194,190.,Brian Roberts (30),.9892,2008,R
195,190.,Robby Thompson (27),.9892,1989,R
196,197.,Bret Boone (33),.9891,2002,R
197,197.,Rich Dauer (28),.9891,1981,R
198,197.,Damion Easley (29),.9891,1999,R
199,197.,Omar Infante (29),.9891,2011,R
200,197.,Jonathan Schoop (24),.9891,2016,R
201,197.,Robby Thompson (28),.9891,1990,R
202,203.,Dustin Ackley (24),.9890,2012,R
203,203.,Josh Harrison (28),.9890,2016,R
204,203.,Aaron Hill (29),.9890,2011,R
205,203.,DJ LeMahieu (28),.9890,2017,R
206,207.,Gordon Beckham (24),.9889,2011,R
207,207.,Mark Ellis (28),.9889,2005,R
208,207.,Tom Herr (34),.9889,1990,R
209,207.,Charlie Neal (28),.9889,1959,R
210,211.,Brian Dozier (29),.9888,2016,R
211,211.,Nellie Fox+ (26),.9888,1954,R
212,211.,Mark Grudzielanek (32),.9888,2002,R
213,211.,Jason Kipnis (27),.9888,2014,R
214,211.,Joe Morgan+ (38),.9888,1982,R
215,211.,Joe Panik (28),.9888,2019,R
216,211.,Ben Zobrist (30),.9888,2011,R
217,218.,Mark Ellis (36),.9887,2013,R
218,218.,Mike Gallego (30),.9887,1991,R
219,218.,Bobby Grich (31),.9887,1980,R
220,218.,Glenn Hubbard (27),.9887,1985,R
221,218.,Jose Lind (27),.9887,1991,R
222,218.,Jose Lopez (23),.9887,2007,R
223,218.,Mickey Morandini (34),.9887,2000,R
224,218.,Placido Polanco (32),.9887,2008,R
225,226.,Sandy Alomar (27),.9886,1971,R
226,226.,Danny Espinosa (25),.9886,2012,R
227,226.,Mickey Morandini (29),.9886,1995,R
228,229.,Bill Mazeroski+ (23),.9885,1960,R
229,230.,Luis Castillo (29),.9884,2005,R
230,230.,Rich Dauer (30),.9884,1983,R
231,230.,Tom Herr (30),.9884,1986,R
232,230.,Orlando Hudson (31),.9884,2009,R
233,234.,Marty Barrett (29),.9883,1987,R
234,234.,Tommy Helms (32),.9883,1973,R
235,234.,Ian Kinsler (32),.9883,2014,R
236,234.,Joe Morgan+ (36),.9883,1980,R
237,234.,Jose Oquendo (27),.9883,1991,R
238,234.,Willie Randolph (33),.9883,1988,R
239,234.,Frank White (29),.9883,1980,R
240,241.,Roberto Alomar+ (29),.9882,1997,R
241,241.,Kelly Johnson (28),.9882,2010,R
242,241.,DJ LeMahieu (26),.9882,2015,R
243,241.,Fernando Vina (31),.9882,2000,R
244,245.,Craig Biggio+ (36),.9881,2002,R
245,245.,Bret Boone (29),.9881,1998,R
246,245.,Dave Cash (28),.9881,1976,R
247,245.,Bill Doran (32),.9881,1990,R
248,245.,Jim Gantner (32),.9881,1985,R
249,250.,Scott Fletcher (31),.9880,1990,R
250,250.,Chuck Knoblauch (27),.9880,1996,R
251,250.,Mike Lansing (32),.9880,2000,R
252,250.,Brian Roberts (26),.9880,2004,R
253,250.,Ron Theobald (28),.9880,1972,R
254,250.,Robby Thompson (31),.9880,1993,R
255,256.,Max Bishop (32),.9879,1932,R
256,256.,Frank Bolling (29),.9879,1961,R
257,256.,Nellie Fox+ (31),.9879,1959,R
258,256.,Chris Getz (27),.9879,2011,R
259,256.,Ian Kinsler (34),.9879,2016,R
260,256.,Brian Roberts (27),.9879,2005,R
261,256.,Frank White (30),.9879,1981,R
