,Rank,Player (age that year),SB %,Year,Bats
0,1.,Quintin Berry (27),100.000,2012,L
1,1.,Sean Berry (28),100.000,1994,R
2,1.,Cavan Biggio (25),100.000,2020,L
3,1.,Xander Bogaerts (27),100.000,2020,R
4,1.,Joe Carter (34),100.000,1994,R
5,1.,Jarrod Dyson (35),100.000,2020,L
6,1.,Alcides Escobar (26),100.000,2013,R
7,1.,Craig Gentry (27),100.000,2011,R
8,1.,Monte Harrison (24),100.000,2020,R
9,1.,Tim Locastro (26),100.000,2019,R
10,1.,Kevin McReynolds (28),100.000,1988,R
11,1.,Paul Molitor+ (37),100.000,1994,R
12,1.,Tommy Pham (32),100.000,2020,R
13,1.,Roman Quinn (27),100.000,2020,B
14,1.,Tim Raines+ (34),100.000,1994,B
15,1.,Jimmy Sexton (30),100.000,1982,R
16,1.,Mike Tauchman (29),100.000,2020,L
17,1.,Leody Taveras (21),100.000,2020,B
18,1.,Gary Thurman (24),100.000,1989,R
19,1.,Lee Tinsley (25),100.000,1994,B
20,1.,Chase Utley (30),100.000,2009,L
21,22.,Brady Anderson (30),96.875,1994,L
22,22.,Carlos Beltran (24),96.875,2001,B
23,24.,Byron Buxton (23),96.667,2017,R
24,25.,James Jones (25),96.429,2014,L
25,26.,Chris Duffy (26),96.296,2006,L
26,26.,Curtis Granderson (26),96.296,2007,L
27,28.,Michael Brantley (27),95.833,2014,L
28,28.,Ken Griffey (30),95.833,1980,L
29,30.,Ichiro Suzuki (32),95.745,2006,L
30,31.,Nate McLouth (25),95.652,2007,L
31,32.,Jason Bay (26),95.455,2005,R
32,32.,Alexi Casilla (27),95.455,2012,B
33,34.,Stan Javier (24),95.238,1988,B
34,34.,Dustin Pedroia (24),95.238,2008,R
35,34.,Jayson Werth (29),95.238,2008,R
36,37.,Eric Davis (30),95.000,1992,R
37,38.,Michael Bourn (24),94.737,2007,L
38,38.,Johnny Damon (31),94.737,2005,L
39,38.,Bradley Zimmer (24),94.737,2017,L
40,41.,Jackie Bradley Jr. (28),94.444,2018,L
41,41.,Eric Byrnes (28),94.444,2004,R
42,41.,Doug Glanville (28),94.444,1999,R
43,41.,Jimmy Rollins (31),94.444,2010,B
44,45.,Amos Otis (23),94.286,1970,R
45,46.,Darin Erstad (30),94.118,2004,L
46,46.,Ken Griffey Jr.+ (26),94.118,1996,L
47,46.,Eric Hosmer (22),94.118,2012,L
48,46.,Amos Otis (33),94.118,1980,R
49,46.,Jose Tartabull (24),94.118,1963,L
50,46.,Will Venable (32),94.118,2015,L
51,52.,Jimmy Rollins (29),94.000,2008,B
52,53.,Desmond Jennings (25),93.939,2012,R
53,53.,Jack Perconte (30),93.939,1985,L
54,55.,Tim Anderson (24),93.750,2017,R
