,Rank,Player (age that year),Base-Out Runs Saved (RE24),Year,Throws
0,1.,Lefty Grove+ (31),87.838,1931,L
1,2.,Pedro Martinez+ (28),86.927,2000,R
2,3.,Lefty Grove+ (30),81.844,1930,L
3,4.,Roger Clemens (34),80.624,1997,R
4,5.,Dolf Luque (32),79.669,1923,R
5,6.,Carl Hubbell+ (33),78.195,1936,L
6,7.,Lefty Grove+ (36),78.013,1936,L
7,8.,Lefty Gomez+ (28),77.057,1937,L
8,9.,Dwight Gooden (20),75.521,1985,R
9,10.,Lefty Grove+ (32),74.222,1932,L
10,11.,Bob Feller+ (21),72.487,1940,R
11,12.,Pedro Martinez+ (27),72.019,1999,R
12,13.,Greg Maddux+ (29),70.365,1995,R
13,14.,Robin Roberts+ (26),69.948,1953,R
14,15.,Sandy Koufax+ (30),68.039,1966,L
15,16.,Carl Hubbell+ (30),65.802,1933,L
16,17.,Bob Gibson+ (32),65.798,1968,R
17,18.,Lefty Gomez+ (25),65.699,1934,L
18,19.,Bob Feller+ (20),65.644,1939,R
19,20.,Randy Johnson+ (35),65.560,1999,L
20,21.,Steve Carlton+ (27),65.448,1972,L
21,22.,Dean Chance (23),65.096,1964,R
22,23.,Randy Johnson+ (37),65.032,2001,L
23,24.,Ron Guidry (27),64.054,1978,L
24,25.,Warren Spahn+ (26),63.967,1947,L
25,26.,Greg Maddux+ (31),63.388,1997,R
26,27.,Bucky Walters (30),62.576,1939,R
27,28.,Dazzy Vance+ (39),62.515,1930,R
28,29.,Johan Santana (25),62.459,2004,L
29,30.,Greg Maddux+ (28),62.353,1994,R
30,31.,Dazzy Vance+ (33),62.217,1924,R
31,32.,Dazzy Vance+ (37),62.213,1928,R
32,33.,Jim Palmer+ (29),61.791,1975,R
33,34.,Warren Spahn+ (32),61.757,1953,L
34,35.,Lefty Grove+ (37),61.733,1937,L
35,36.,Sandy Koufax+ (27),60.479,1963,L
36,37.,Stan Coveleski+ (30),60.401,1920,R
37,38.,Vida Blue (21),60.363,1971,L
38,39.,Randy Johnson+ (38),60.190,2002,L
39,40.,Jim Bagby (30),60.135,1920,R
40,41.,Kevin Brown (31),59.418,1996,R
41,42.,Tom Seaver+ (26),59.131,1971,R
42,43.,Tom Seaver+ (28),58.993,1973,R
43,44.,Zack Greinke (25),58.916,2009,R
44,45.,Randy Johnson+ (31),58.793,1995,L
45,46.,Red Faber+ (32),58.687,1921,R
46,47.,Justin Verlander (36),58.654,2019,R
47,48.,Dizzy Dean+ (24),57.971,1934,R
48,49.,Carl Hubbell+ (31),57.835,1934,L
49,50.,Jim Palmer+ (27),57.747,1973,R
50,51.,Pedro Martinez+ (25),57.698,1997,R
51,52.,Kevin Appier (25),57.134,1993,R
52,53.,Zack Greinke (31),56.996,2015,R
53,54.,Bob Gibson+ (33),56.721,1969,R
54,55.,Mel Parnell (27),56.549,1949,L
55,56.,Juan Marichal+ (28),56.486,1966,R
56,57.,Roger Clemens (27),56.420,1990,R
57,58.,Randy Johnson+ (33),56.375,1997,L
58,59.,Sandy Koufax+ (29),56.239,1965,L
59,60.,Gaylord Perry+ (33),55.979,1972,R
60,61.,Randy Johnson+ (36),55.822,2000,L
61,62.,Robin Roberts+ (27),55.658,1954,R
62,63.,Dolf Luque (34),55.622,1925,R
63,64.,George Uhle (27),55.545,1926,R
64,65.,Roger Clemens (24),55.501,1987,R
65,66.,Derek Lowe (29),55.498,2002,R
66,67.,Red Faber+ (33),55.406,1922,R
67,68.,John Tudor (31),55.380,1985,L
68,69.,Roger Clemens (23),55.188,1986,R
69,70.,Gerrit Cole (28),55.117,2019,R
70,71.,Bucky Walters (31),55.078,1940,R
71,72.,Roger Clemens (42),55.058,2005,R
72,73.,Juan Marichal+ (27),55.035,1965,R
73,74.,Wilcy Moore (30),54.981,1927,R
74,75.,Jacob deGrom (30),54.807,2018,R
75,76.,Corey Kluber (31),54.663,2017,R
76,77.,Larry Benton (30),54.598,1928,R
77,78.,Bill Lee (28),54.292,1938,R
78,79.,Bob Feller+ (27),53.902,1946,R
79,80.,Greg Maddux+ (32),53.774,1998,R
80,81.,Bob Lemon+ (27),53.688,1948,R
81,82.,John Hiller (30),53.669,1973,L
82,83.,Bob Shawkey (31),53.574,1922,R
83,84.,Lefty Grove+ (35),53.447,1935,L
84,85.,Jake Arrieta (29),53.418,2015,R
85,86.,Dick Ellsworth (23),53.394,1963,L
86,87.,Mel Harder (24),53.391,1934,R
87,88.,Lon Warneke (23),53.321,1932,R
88,89.,Johnny Antonelli (24),53.207,1954,L
89,90.,Pat Hentgen (27),52.984,1996,R
90,91.,Curt Schilling (34),52.926,2001,R
91,92.,Mike Scott (31),52.924,1986,R
92,93.,Mort Cooper (29),52.686,1942,R
93,94.,Pedro Martinez+ (31),52.612,2003,R
94,95.,Bob Shawkey (29),52.251,1920,R
95,96.,Bob Feller+ (22),52.193,1941,R
96,97.,Jose Rijo (28),52.172,1993,R
97,98.,Roger Clemens (35),52.090,1998,R
98,99.,Stan Coveleski+ (27),52.077,1917,R
99,100.,Andy Messersmith (29),52.029,1975,R
100,101.,Bret Saberhagen (25),51.835,1989,R
101,102.,Justin Verlander (28),51.824,2011,R
102,103.,Steve Carlton+ (35),51.746,1980,L
103,104.,Denny McLain (25),51.730,1969,R
104,105.,Early Wynn+ (36),51.677,1956,R
105,106.,Jim Palmer+ (31),51.578,1977,R
106,107.,Pete Alexander+ (29),51.564,1916,R
107,108.,Catfish Hunter+ (29),51.556,1975,R
108,109.,Lefty Grove+ (29),51.425,1929,L
109,110.,Gene Bearden (27),51.385,1948,L
110,111.,Tom Seaver+ (24),51.146,1969,R
111,112.,Dave Stieb (27),51.038,1985,R
112,113.,Ewell Blackwell (24),50.935,1947,R
113,114.,Greg Maddux+ (27),50.855,1993,R
114,114.,Hal Newhouser+ (25),50.855,1946,L
115,116.,Don Drysdale+ (27),50.780,1964,R
116,117.,Jason Schmidt (30),50.724,2003,R
117,118.,Lefty Grove+ (39),50.688,1939,L
118,119.,Bert Blyleven+ (22),50.622,1973,R
119,120.,Mark Eichhorn (25),50.508,1986,R
120,121.,Red Ruffing+ (32),50.482,1937,R
121,122.,Whit Wyatt (33),50.473,1941,R
122,123.,Jimmy Key (26),50.339,1987,L
123,124.,Kevin Brown (35),50.326,2000,R
124,125.,Johnny Allen (31),50.283,1936,R
125,126.,Roy Halladay+ (33),50.277,2010,R
126,127.,Johnny Sain (30),50.237,1948,R
127,128.,Waite Hoyt+ (27),50.225,1927,R
128,129.,Billy Pierce (28),50.082,1955,L
129,130.,Johan Santana (27),49.865,2006,L
130,131.,Jim Bunning+ (34),49.841,1966,R
131,132.,Lefty Grove+ (28),49.676,1928,L
132,133.,Lefty Stewart (29),49.574,1930,L
133,134.,Mike Norris (25),49.433,1980,R
134,135.,Firpo Marberry (30),49.427,1929,R
135,136.,Tom Glavine+ (32),49.230,1998,L
136,137.,Red Ruffing+ (33),49.176,1938,R
137,138.,Carl Mays (29),49.093,1921,R
138,139.,Harry Brecheen (33),49.044,1948,L
139,140.,Cliff Lee (29),48.992,2008,L
140,141.,Tom Seaver+ (32),48.784,1977,R
141,142.,Kevin Brown (33),48.675,1998,R
142,143.,Gaylord Perry+ (35),48.654,1974,R
143,144.,Greg Maddux+ (26),48.474,1992,R
144,145.,Dave Stieb (26),48.448,1984,R
145,146.,Blake Snell (25),48.420,2018,L
146,147.,Robin Roberts+ (23),48.360,1950,R
147,148.,Red Ruffing+ (34),48.308,1939,R
148,149.,Curt Schilling (37),48.263,2004,R
149,150.,Virgil Trucks (32),48.247,1949,R
150,151.,Tim Lincecum (24),47.982,2008,R
151,152.,Dizzy Dean+ (25),47.953,1935,R
152,153.,Jered Weaver (28),47.914,2011,R
153,154.,Herb Pennock+ (30),47.866,1924,L
154,155.,John Candelaria (23),47.846,1977,L
155,156.,Clayton Kershaw (25),47.792,2013,L
156,157.,Greg Maddux+ (34),47.756,2000,R
157,158.,Frank Viola (27),47.737,1987,L
