,Rank,Player (age that year),Fielding % as OF,Year,Throws
0,1.,Ronald Acuna Jr. (22),1.0000,2020,R
1,1.,Jason Bay (30),1.0000,2009,R
2,1.,Ken Berry (28),1.0000,1969,R
3,1.,Ken Berry (31),1.0000,1972,R
4,1.,Charlie Blackmon (33),1.0000,2020,L
5,1.,Gregor Blanco (29),1.0000,2013,L
6,1.,Jackie Bradley Jr. (30),1.0000,2020,R
7,1.,Michael Brantley (26),1.0000,2013,L
8,1.,Ryan Braun (24),1.0000,2008,R
9,1.,Brett Butler (34),1.0000,1991,L
10,1.,Brett Butler (36),1.0000,1993,L
11,1.,Marlon Byrd (37),1.0000,2015,R
12,1.,Johnny Callison (29),1.0000,1968,R
13,1.,Frank Catalanotto (31),1.0000,2005,R
14,1.,Endy Chavez (28),1.0000,2006,L
15,1.,Chris Coghlan (30),1.0000,2015,R
16,1.,Rocky Colavito (31),1.0000,1965,R
17,1.,Michael Conforto (27),1.0000,2020,R
18,1.,Coco Crisp (33),1.0000,2013,R
19,1.,David DeJesus (29),1.0000,2009,L
20,1.,Don Demeter (28),1.0000,1963,R
21,1.,Brian Downing (31),1.0000,1982,R
22,1.,Brian Downing (33),1.0000,1984,R
23,1.,Jim Eisenreich (36),1.0000,1995,L
24,1.,Jacoby Ellsbury (24),1.0000,2008,L
25,1.,Jacoby Ellsbury (27),1.0000,2011,L
26,1.,Jacoby Ellsbury (31),1.0000,2015,L
27,1.,Juan Encarnacion (27),1.0000,2003,R
28,1.,Andre Ethier (29),1.0000,2011,L
29,1.,Curt Flood (28),1.0000,1966,R
30,1.,Joey Gallo (26),1.0000,2020,R
31,1.,Avisail Garcia (29),1.0000,2020,R
32,1.,Brett Gardner (33),1.0000,2017,L
33,1.,Craig Gentry (28),1.0000,2012,R
34,1.,Doug Glanville (31),1.0000,2002,R
35,1.,Luis Gonzalez (33),1.0000,2001,R
36,1.,Tony Gonzalez (25),1.0000,1962,R
37,1.,Alex Gordon (36),1.0000,2020,R
38,1.,Curtis Granderson (31),1.0000,2012,R
39,1.,Curtis Granderson (35),1.0000,2016,R
40,1.,Shawn Green (32),1.0000,2005,L
41,1.,Marquis Grissom (34),1.0000,2001,R
42,1.,Robbie Grossman (29),1.0000,2019,L
43,1.,Robbie Grossman (30),1.0000,2020,L
44,1.,Franklin Gutierrez (27),1.0000,2010,R
45,1.,Billy Hamilton (24),1.0000,2015,R
46,1.,Billy Hamilton (28),1.0000,2019,R
47,1.,Darryl Hamilton (27),1.0000,1992,R
48,1.,Darryl Hamilton (31),1.0000,1996,R
49,1.,Darryl Hamilton (34),1.0000,1999,R
50,1.,Ken Harrelson (26),1.0000,1968,R
51,1.,Guillermo Heredia (27),1.0000,2018,L
52,1.,Jason Heyward (30),1.0000,2020,L
53,1.,Torii Hunter (32),1.0000,2008,R
54,1.,Stan Javier (31),1.0000,1995,R
55,1.,Jon Jay (27),1.0000,2012,L
56,1.,Jon Jay (32),1.0000,2017,L
57,1.,Jon Jay (33),1.0000,2018,L
58,1.,Geoff Jenkins (28),1.0000,2003,R
59,1.,Desmond Jennings (25),1.0000,2012,R
60,1.,Desmond Jennings (27),1.0000,2014,R
61,1.,Lance Johnson (30),1.0000,1994,L
62,1.,Al Kaline+ (36),1.0000,1971,R
63,1.,Max Kepler (26),1.0000,2019,L
64,1.,Kevin Kiermaier (30),1.0000,2020,R
65,1.,Ken Landreaux (26),1.0000,1981,R
66,1.,Ramon Laureano (25),1.0000,2020,R
67,1.,Carlos Lee (28),1.0000,2004,R
68,1.,Darren Lewis (25),1.0000,1993,R
69,1.,Danny Litwhiler (25),1.0000,1942,R
70,1.,Kenny Lofton (35),1.0000,2002,L
71,1.,John Lowenstein (35),1.0000,1982,R
72,1.,Mitch Maier (27),1.0000,2009,R
73,1.,Nick Markakis (27),1.0000,2011,L
74,1.,Nick Markakis (29),1.0000,2013,L
75,1.,Nick Markakis (30),1.0000,2014,L
76,1.,Willard Marshall (30),1.0000,1951,R
77,1.,Nomar Mazara (25),1.0000,2020,L
78,1.,Cedric Mullins (25),1.0000,2020,L
79,1.,Paul O'Neill (33),1.0000,1996,L
80,1.,Tyler O'Neill (25),1.0000,2020,R
81,1.,Eric Owens (29),1.0000,2000,R
82,1.,Orlando Palmeiro (34),1.0000,2003,L
83,1.,Jay Payton (32),1.0000,2005,R
84,1.,Tommy Pham (31),1.0000,2019,R
85,1.,Juan Pierre (28),1.0000,2006,L
86,1.,Stephen Piscotty (29),1.0000,2020,R
87,1.,Terry Puhl (22),1.0000,1979,R
88,1.,Terry Puhl (24),1.0000,1981,R
89,1.,Tim Raines+ (33),1.0000,1993,R
90,1.,Josh Reddick (31),1.0000,2018,R
91,1.,Ben Revere (24),1.0000,2012,R
92,1.,Ben Revere (27),1.0000,2015,R
93,1.,Dave Roberts (30),1.0000,2002,L
