,Rank,Player (age that year),Assists as SS,Year,Throws
210,206.,George McBride (28),499,1909,R
211,206.,Alexei Ramírez (28),499,2010,R
212,206.,Andrelton Simmons (23),499,2013,R
213,214.,Dale Berra (25),498,1982,R
214,214.,Rick Burleson (24),498,1975,R
215,214.,Orlando Cabrera (27),498,2002,R
216,214.,George McBride (31),498,1912,R
217,218.,Woody English (23),497,1929,R
218,218.,Art Fletcher (31),497,1916,R
219,218.,Tim Foli (24),497,1975,R
220,218.,Herman Long (26),497,1892,R
221,218.,Joe Sewell+ (24),497,1923,R
222,223.,Bert Campaneris (31),496,1973,R
223,223.,Travis Jackson+ (27),496,1931,R
224,223.,Harvey Kuenn (23),496,1954,R
225,223.,Hal Lanier (25),496,1968,R
226,223.,Roy McMillan (31),496,1961,R
227,223.,Cliff Pennington (26),496,2010,R
228,223.,Everett Scott (27),496,1920,R
229,223.,Maury Wills (36),496,1969,R
230,231.,Ed Brinkman (30),495,1972,R
231,231.,Dave Concepcion (31),495,1979,R
232,231.,Tommy Corcoran (23),495,1892,R
233,231.,Lyn Lary (30),495,1936,R
234,231.,Roy McMillan (22),495,1952,R
235,231.,Roy McMillan (25),495,1955,R
236,231.,Cal Ripken Jr.+ (32),495,1993,R
237,231.,Heinie Sand (28),495,1926,R
238,239.,Larry Bowa (26),494,1972,R
239,239.,Bert Campaneris (30),494,1972,R
240,239.,Bill Dahlen (34),494,1904,R
241,239.,Ernie Johnson (33),494,1921,R
242,239.,Blondy Ryan (27),494,1933,R
243,239.,Vern Stephens (26),494,1947,R
244,245.,Elvis Andrus (28),493,2017,R
245,245.,Dick Bartell (25),493,1933,R
246,245.,Ed Brinkman (32),493,1974,R
247,245.,Chick Galloway (25),493,1922,R
248,245.,Jack Glasscock (29),493,1887,R
249,245.,Freddy Parent (28),493,1904,R
250,245.,Freddie Patek (29),493,1974,R
251,245.,Topper Rigney (25),493,1922,R
252,245.,Rabbit Warstler (33),493,1937,R
253,245.,Maury Wills (29),493,1962,R
254,255.,Dave Bancroft+ (24),492,1915,R
255,255.,Larry Bowa (30),492,1976,R
256,255.,Chico Carrasquel (28),492,1954,R
257,255.,Jimmy Cooney (31),492,1926,R
258,255.,Rafael Furcal (28),492,2006,R
259,255.,Freddy Parent (26),492,1902,R
260,255.,Topper Rigney (29),492,1926,R
261,255.,Dick Schofield (25),492,1988,R
262,255.,Jack Wilson (26),492,2004,R
263,255.,Michael Young (29),492,2006,R
264,265.,Jay Bell (25),491,1991,R
265,265.,Tommy Corcoran (26),491,1895,R
266,265.,Frank Duffy (27),491,1974,R
267,265.,Charlie Hollocher (25),491,1921,R
268,265.,Bill Russell (25),491,1974,R
269,270.,Bert Campaneris (34),490,1976,R
270,270.,Dave Concepcion (29),490,1977,R
271,270.,Harry Lochhead (23),490,1899,R
272,270.,George McBride (32),490,1913,R
273,270.,Rafael Ramirez (25),490,1983,R
274,270.,Miguel Tejada (29),490,2003,R
275,276.,Bucky Dent (28),489,1980,R
276,276.,Alfredo Griffin (22),489,1980,R
277,276.,Lyn Lary (31),489,1937,R
278,276.,Doc Lavan (29),489,1920,R
279,276.,Johnny Logan (28),489,1954,R
280,276.,Marty Marion (24),489,1941,R
281,276.,Eric McNair (25),489,1934,R
282,276.,Robin Yount+ (26),489,1982,R
283,284.,Ernie Banks+ (29),488,1960,R
284,284.,Lou Boudreau+ (25),488,1943,R
285,284.,Joe Cronin+ (24),488,1931,R
286,284.,Rabbit Maranville+ (27),488,1919,R
287,288.,Luis Aparicio+ (27),487,1961,R
288,288.,Donie Bush (22),487,1910,R
289,288.,Leo Cardenas (31),487,1970,R
290,288.,Al Dark (32),487,1954,R
291,288.,Tim Foli (21),487,1972,R
292,288.,Eddie Miller (23),487,1940,R
293,288.,Roger Peckinpaugh (33),487,1924,R
294,288.,Arky Vaughan+ (21),487,1933,R
295,288.,Zoilo Versalles (25),487,1965,R
296,297.,Al Bridwell (24),486,1908,R
297,297.,Joe Cronin+ (27),486,1934,R
298,297.,Gary Disarcina (24),486,1992,R
299,297.,Alex Gonzalez (33),486,2010,R
300,297.,Bill Knickerbocker (24),486,1936,R
301,297.,Rabbit Maranville+ (23),486,1915,R
302,297.,Alexei Ramírez (32),486,2014,R
303,297.,Joe Tinker+ (30),486,1911,R
304,305.,George Davis+ (36),485,1907,R
305,305.,Frank Fennelly (26),485,1886,R
306,305.,Eddie Miller (24),485,1941,R
307,308.,Dave Bancroft+ (37),484,1928,R
308,308.,Mickey Doolin (29),484,1909,R
309,308.,Art Fletcher (33),484,1918,R
310,308.,Billy Jurges (27),484,1935,R
311,308.,Lyn Lary (25),484,1931,R
312,308.,Maury Wills (38),484,1971,R
313,314.,Luis Aparicio+ (36),483,1970,R
314,314.,Dick Bartell (26),483,1934,R
315,314.,Lou Boudreau+ (30),483,1948,R
316,314.,Bert Campaneris (35),483,1977,R
317,314.,Ron Hansen (25),483,1963,R
318,314.,Johnny Lipon (27),483,1950,R
319,314.,Everett Scott (24),483,1917,R
320,314.,Ozzie Smith+ (34),483,1989,R
321,322.,Ernie Banks+ (24),482,1955,R
322,322.,Eddie Bressoud (30),482,1962,R
323,322.,Rick Burleson (26),482,1977,R
324,322.,Rick Burleson (27),482,1978,R
325,322.,Deivi Cruz (27),482,2000,R
326,322.,Mickey Doolin (33),482,1913,R
327,322.,Jimmy Esmond (25),482,1915,R
328,322.,Ron Hansen (29),482,1967,R
329,322.,Billy Jurges (31),482,1939,R
330,322.,Pee Wee Reese+ (23),482,1942,R
331,322.,Cal Ripken Jr.+ (25),482,1986,R
332,322.,Bobby Wallace+ (30),482,1904,R
333,334.,Mickey Doolin (35),481,1915,R
334,334.,Julio Franco (25),481,1984,R
335,334.,Jim Fregosi (23),481,1965,R
336,334.,Rafael Furcal (25),481,2003,R
337,334.,Cesar Izturis (23),481,2003,R
338,334.,Johnny Logan (27),481,1953,R
339,334.,Johnny Logan (32),481,1958,R
340,334.,Willy Miranda (29),481,1955,R
341,334.,Neifi Perez (26),481,1999,R
342,334.,Frank Taveras (26),481,1976,R
343,334.,Bobby Wine (31),481,1970,R
344,345.,Ed Brinkman (31),480,1973,R
345,345.,Mickey Doolin (26),480,1906,R
346,345.,Tony Fernandez (28),480,1990,R
347,345.,Marty Marion (29),480,1946,R
348,345.,Cal Ripken Jr.+ (26),480,1987,R
349,345.,Cal Ripken Jr.+ (27),480,1988,R
350,345.,Joe Sewell+ (22),480,1921,R
351,345.,Joe Sewell+ (28),480,1927,R
352,345.,Vern Stephens (23),480,1944,R
353,345.,Arky Vaughan+ (22),480,1934,R
354,355.,Gene DeMontreville (23),479,1896,R
355,355.,Adam Everett (29),479,2006,R
356,355.,Alfredo Griffin (24),479,1982,R
357,355.,Herman Long (23),479,1889,R
358,355.,Johnny Pesky (27),479,1946,R
359,355.,Jimmy Rollins (28),479,2007,R
360,355.,Rey Sanchez (33),479,2001,R
361,355.,Miguel Tejada (31),479,2005,R
362,363.,Jay Bell (30),478,1996,R
363,363.,Rick Burleson (25),478,1976,R
364,363.,Tony Fernandez (23),478,1985,R
365,363.,Jack Glasscock (31),478,1889,R
366,367.,Chico Carrasquel (25),477,1951,R
367,367.,Ike Caveney (28),477,1923,R
368,367.,Tommy Corcoran (27),477,1896,R
369,367.,Bill Dahlen (33),477,1903,R
370,367.,Ernie Johnson (27),477,1915,R
371,367.,Roy McMillan (35),477,1965,R
372,367.,Marcus Semien (25),477,2016,R
373,367.,Terry Turner (26),477,1907,R
374,367.,Arky Vaughan+ (24),477,1936,R
375,376.,Dick Bartell (29),476,1937,R
376,376.,Mike Bordick (30),476,1996,R
377,376.,Mickey Doolin (32),476,1912,R
378,376.,Mickey Doolin (34),476,1914,R
379,376.,Bones Ely (36),476,1899,R
380,376.,Solly Hemus (30),476,1953,R
381,376.,Hughie Jennings+ (27),476,1896,R
382,376.,Billy Jurges (25),476,1933,R
383,376.,Don Kessinger (31),476,1974,R
384,376.,Bill Russell (27),476,1976,R
385,386.,Ernie Banks+ (23),475,1954,R
386,386.,Lou Boudreau+ (29),475,1947,R
387,386.,George Davis+ (35),475,1906,R
388,386.,Tony Fernandez (27),475,1989,R
389,386.,Ozzie Guillen (23),475,1987,R
390,386.,Doc Lavan (24),475,1915,R
391,386.,Rabbit Maranville+ (21),475,1913,R
392,386.,Stan Rojek (29),475,1948,R
393,386.,Miguel Tejada (35),475,2009,R
394,386.,Omar Vizquel (26),475,1993,R
395,396.,Luis Aparicio+ (22),474,1956,R
396,396.,Mickey Doolin (31),474,1911,R
397,396.,Ozzie Guillen (26),474,1990,R
398,396.,Buck Herzog (28),474,1914,R
399,396.,Ed Holly (27),474,1907,R
400,396.,Don Kessinger (23),474,1966,R
401,396.,Rabbit Maranville+ (25),474,1917,R
402,396.,Gene Michael (33),474,1971,R
403,396.,Cal Ripken Jr.+ (24),474,1985,R
404,396.,Bobby Wallace+ (28),474,1902,R
405,396.,Bobby Wheelock (26),474,1891,R
406,407.,Ed Abbaticchio (27),473,1904,R
407,407.,Luke Appling+ (34),473,1941,R
408,407.,Angel Berroa (25),473,2003,R
409,407.,Dick Groat (28),473,1959,R
410,407.,Dick Groat (30),473,1961,R
411,407.,Toby Harrah (27),473,1976,R
412,407.,Pee Wee Reese+ (22),473,1941,R
413,407.,Miguel Tejada (27),473,2001,R
414,407.,Billy Urbanski (30),473,1933,R
415,407.,Honus Wagner+ (32),473,1906,R
416,417.,Gene Alley (25),472,1966,R
417,417.,Orlando Cabrera (33),472,2008,R
418,417.,Ike Davis (30),472,1925,R
419,417.,Charlie Gelbert (24),472,1930,R
420,417.,Jack Glasscock (34),472,1892,R
421,417.,Herman Long (32),472,1898,R
422,417.,Freddy Parent (30),472,1906,R
423,417.,Craig Reynolds (31),472,1984,R
424,417.,Alex Rodriguez (26),472,2002,R
425,417.,Joe Tinker+ (25),472,1906,R
426,427.,Luke Appling+ (29),471,1936,R
427,427.,Leo Cardenas (33),471,1972,R
428,427.,Tommy Corcoran (35),471,1904,R
429,427.,Alvaro Espinoza (27),471,1989,R
430,427.,Buddy Kerr (27),471,1950,R
431,427.,Miguel Tejada (25),471,1999,R
432,433.,Tony Fernandez (26),470,1988,R
433,433.,Wally Gerber (30),470,1922,R
434,433.,Granny Hamner (25),470,1952,R
435,433.,Larry Kopf (26),470,1917,R
436,433.,Barry Larkin+ (24),470,1988,R
437,433.,Dal Maxvill (28),470,1967,R
438,433.,Chris Speier (23),470,1973,R
439,433.,Jackie Tavener (28),470,1926,R
440,433.,Joe Tinker+ (28),470,1909,R
441,433.,Joe Tinker+ (31),470,1912,R
442,433.,Buck Weaver (24),470,1915,R
443,444.,Ray Chapman (24),469,1915,R
444,444.,Ivan de Jesus (29),469,1982,R
445,444.,Tim Foli (25),469,1976,R
446,444.,Barry Larkin+ (26),469,1990,R
447,444.,Herman Long (27),469,1893,R
448,444.,Honus Wagner+ (34),469,1908,R
449,444.,John Ward+ (27),469,1887,R
450,451.,Ed Abbaticchio (28),468,1905,R
451,451.,Ernie Banks+ (27),468,1958,R
452,451.,Bucky Dent (24),468,1976,R
453,451.,Alcides Escobar (30),468,2017,R
454,451.,Jim Fregosi (28),468,1970,R
455,451.,Ernie Johnson (34),468,1922,R
456,451.,Herman Long (35),468,1901,R
457,451.,Roger Peckinpaugh (24),468,1915,R
458,451.,Roger Peckinpaugh (25),468,1916,R
459,451.,Germany Smith (31),468,1890,R
460,451.,Danny Thompson (25),468,1972,R
461,451.,Bobby Wallace+ (29),468,1903,R
462,463.,Frankie Crosetti (26),467,1937,R
463,463.,Nomar Garciaparra (28),467,2002,R
464,463.,Bud Harrelson (23),467,1967,R
465,463.,Johnny Logan (30),467,1956,R
466,463.,Dick McAuliffe (24),467,1964,R
467,463.,Spike Owen (25),467,1986,R
468,463.,Roger Peckinpaugh (26),467,1917,R
469,463.,Cal Ripken Jr.+ (35),467,1996,R
470,463.,Chris Speier (28),467,1978,R
471,463.,U L Washington (26),467,1980,R
472,473.,Darrel Chaney (28),466,1976,R
473,473.,Monte Cross (32),466,1902,R
474,473.,Rafael Furcal (24),466,2002,R
475,473.,Toby Harrah (25),466,1974,R
476,473.,Rico Petrocelli (26),466,1969,R
477,473.,Frank Shugart (25),466,1892,R
478,479.,Starlin Castro (22),465,2012,R
479,479.,Al Dark (28),465,1950,R
480,479.,Al Dark (29),465,1951,R
481,479.,Shawon Dunston (23),465,1986,R
482,479.,Jim Fregosi (27),465,1969,R
483,479.,Alex Gonzalez (23),465,1996,R
484,479.,Ivy Olson (35),465,1921,R
485,479.,Johnny Pesky (23),465,1942,R
486,479.,Joe Tinker+ (23),465,1904,R
487,479.,Michael Young (31),465,2008,R
488,489.,Larry Bowa (37),464,1983,R
489,489.,Frank Duffy (28),464,1975,R
490,489.,Shorty Fuller (25),464,1893,R
491,489.,Roy McMillan (24),464,1954,R
492,489.,Alex Rodriguez (27),464,2003,R
493,489.,Frank Taveras (29),464,1979,R
494,495.,Luis Aparicio+ (24),463,1958,R
495,495.,Frankie Crosetti (25),463,1936,R
496,495.,Mickey Doolin (27),463,1907,R
497,495.,Frank Fennelly (28),463,1888,R
498,495.,Dick Howser (28),463,1964,R
499,495.,Ed McKean (27),463,1891,R
